Gene_ID,Gene_Symbol,Chromosome,Gene_Type,Gene_RefSeq_Status,RNA_RefSeq_Status,Gene_Length_bp
22,ABCB7,X,protein-coding,REVIEWED,REVIEWED,103061
11194,ABCB8,7,protein-coding,REVIEWED,REVIEWED,19361
23457,ABCB9,12,protein-coding,REVIEWED,REVIEWED,57837
4363,ABCC1,16,protein-coding,REVIEWED,REVIEWED,193498
89845,ABCC10,6,protein-coding,REVIEWED,REVIEWED,24457
85320,ABCC11,16,protein-coding,REVIEWED,REVIEWED,85132
94160,ABCC12,16,protein-coding,REVIEWED,REVIEWED,63798
1244,ABCC2,10,protein-coding,REVIEWED,REVIEWED,71144
8714,ABCC3,17,protein-coding,REVIEWED,REVIEWED,56862
10257,ABCC4,13,protein-coding,REVIEWED,REVIEWED,281618
10057,ABCC5,3,protein-coding,REVIEWED,REVIEWED,98077
368,ABCC6,16,protein-coding,REVIEWED,REVIEWED,74053
6833,ABCC8,11,protein-coding,REVIEWED,REVIEWED,83965
10060,ABCC9,12,protein-coding,REVIEWED,REVIEWED,144475
215,ABCD1,X,protein-coding,REVIEWED,REVIEWED,19912
225,ABCD2,12,protein-coding,REVIEWED,REVIEWED,120369
5825,ABCD3,1,protein-coding,REVIEWED,REVIEWED,100578
5826,ABCD4,14,protein-coding,REVIEWED,REVIEWED,17788
6059,ABCE1,4,protein-coding,REVIEWED,REVIEWED,31521
23,ABCF1,6,protein-coding,REVIEWED,REVIEWED,20140
10061,ABCF2,7,protein-coding,REVIEWED,REVIEWED,19538
55324,ABCF3,3,protein-coding,REVIEWED,REVIEWED,7938
9619,ABCG1,21,protein-coding,REVIEWED,REVIEWED,104699
9429,ABCG2,4,protein-coding,REVIEWED,REVIEWED,141363
64137,ABCG4,11,protein-coding,REVIEWED,REVIEWED,13627
64240,ABCG5,2,protein-coding,REVIEWED,REVIEWED,32687
64241,ABCG8,2,protein-coding,REVIEWED,REVIEWED,48110
84696,ABHD1,2,protein-coding,REVIEWED,REVIEWED,7335
55347,ABHD10,3,protein-coding,REVIEWED,REVIEWED,14493
83451,ABHD11,7,protein-coding,REVIEWED,REVIEWED,2774
26090,ABHD12,20,protein-coding,REVIEWED,REVIEWED,96240
145447,ABHD12B,14,protein-coding,VALIDATED,VALIDATED,32881
84945,ABHD13,13,protein-coding,VALIDATED,VALIDATED,17026
25864,ABHD14A,3,protein-coding,VALIDATED,VALIDATED,6175
100526760,ABHD14A-ACY1,3,protein-coding,VALIDATED,VALIDATED,14177
84836,ABHD14B,3,protein-coding,VALIDATED,VALIDATED,6121
116236,ABHD15,17,protein-coding,VALIDATED,VALIDATED,6364
7920,ABHD16A,6,protein-coding,REVIEWED,REVIEWED,16412
140701,ABHD16B,20,protein-coding,VALIDATED,VALIDATED,1776
81926,ABHD17A,19,protein-coding,VALIDATED,VALIDATED,8544
51104,ABHD17B,9,protein-coding,VALIDATED,VALIDATED,49085
58489,ABHD17C,15,protein-coding,VALIDATED,VALIDATED,60311
80167,ABHD18,4,protein-coding,VALIDATED,VALIDATED,74456
11057,ABHD2,15,protein-coding,REVIEWED,REVIEWED,114211
171586,ABHD3,18,protein-coding,REVIEWED,REVIEWED,53909
63874,ABHD4,14,protein-coding,VALIDATED,VALIDATED,14627
51099,ABHD5,3,protein-coding,REVIEWED,REVIEWED,43502
57406,ABHD6,3,protein-coding,VALIDATED,VALIDATED,57235
79575,ABHD8,19,protein-coding,VALIDATED,VALIDATED,11343
10006,ABI1,10,protein-coding,REVIEWED,REVIEWED,114492
10152,ABI2,2,protein-coding,VALIDATED,VALIDATED,107161
51225,ABI3,17,protein-coding,REVIEWED,REVIEWED,12999
25890,ABI3BP,3,protein-coding,VALIDATED,VALIDATED,244180
25,ABL1,9,protein-coding,REVIEWED,REVIEWED,173795
27,ABL2,1,protein-coding,REVIEWED,REVIEWED,130367
3983,ABLIM1,10,protein-coding,REVIEWED,REVIEWED,390534
84448,ABLIM2,4,protein-coding,VALIDATED,VALIDATED,193523
22885,ABLIM3,5,protein-coding,REVIEWED,REVIEWED,118993
28,ABO,9,protein-coding,REVIEWED,REVIEWED,20039
29,ABR,17,protein-coding,REVIEWED,REVIEWED,226195
137735,ABRA,8,protein-coding,VALIDATED,VALIDATED,49591
58527,ABRACL,6,protein-coding,VALIDATED,VALIDATED,14621
84142,ABRAXAS1,4,protein-coding,REVIEWED,REVIEWED,24240
23172,ABRAXAS2,10,protein-coding,VALIDATED,VALIDATED,34886
29777,ABT1,6,protein-coding,REVIEWED,REVIEWED,3108
80325,ABTB1,3,protein-coding,REVIEWED,REVIEWED,7999
25841,ABTB2,11,protein-coding,VALIDATED,VALIDATED,207022
30,ACAA1,3,protein-coding,REVIEWED,REVIEWED,14533
10449,ACAA2,18,protein-coding,REVIEWED,REVIEWED,30378
31,ACACA,17,protein-coding,REVIEWED,REVIEWED,321831
32,ACACB,12,protein-coding,REVIEWED,REVIEWED,155561
80724,ACAD10,12,protein-coding,REVIEWED,REVIEWED,71055
84129,ACAD11,3,protein-coding,REVIEWED,REVIEWED,101994
27034,ACAD8,11,protein-coding,REVIEWED,REVIEWED,12321
28976,ACAD9,3,protein-coding,REVIEWED,REVIEWED,33625
33,ACADL,2,protein-coding,REVIEWED,REVIEWED,37502
34,ACADM,1,protein-coding,REVIEWED,REVIEWED,39333
35,ACADS,12,protein-coding,REVIEWED,REVIEWED,14271
36,ACADSB,10,protein-coding,REVIEWED,REVIEWED,49378
37,ACADVL,17,protein-coding,REVIEWED,REVIEWED,8143
176,ACAN,15,protein-coding,REVIEWED,REVIEWED,71913
9744,ACAP1,17,protein-coding,VALIDATED,VALIDATED,18439
23527,ACAP2,3,protein-coding,VALIDATED,VALIDATED,168441
116983,ACAP3,1,protein-coding,VALIDATED,VALIDATED,15542
38,ACAT1,11,protein-coding,REVIEWED,REVIEWED,32118
39,ACAT2,6,protein-coding,REVIEWED,REVIEWED,17156
64746,ACBD3,1,protein-coding,REVIEWED,REVIEWED,42044
79777,ACBD4,17,protein-coding,REVIEWED,REVIEWED,11582
91452,ACBD5,10,protein-coding,REVIEWED,REVIEWED,60705
84320,ACBD6,1,protein-coding,VALIDATED,VALIDATED,233225
414149,ACBD7,10,protein-coding,VALIDATED,VALIDATED,13302
84680,ACCS,11,protein-coding,VALIDATED,VALIDATED,18120
390110,ACCSL,11,protein-coding,VALIDATED,VALIDATED,12687
65057,ACD,16,protein-coding,REVIEWED,REVIEWED,3321
1636,ACE,17,protein-coding,REVIEWED,REVIEWED,21320
59272,ACE2,X,protein-coding,REVIEWED,REVIEWED,107550
125981,ACER1,19,protein-coding,VALIDATED,VALIDATED,54227
340485,ACER2,9,protein-coding,VALIDATED,VALIDATED,46247
55331,ACER3,11,protein-coding,VALIDATED,VALIDATED,165925
43,ACHE,7,protein-coding,REVIEWED,REVIEWED,6140
22985,ACIN1,14,protein-coding,REVIEWED,REVIEWED,37051
2532,ACKR1,1,protein-coding,REVIEWED,REVIEWED,2488
1238,ACKR2,3,protein-coding,REVIEWED,REVIEWED,57812
57007,ACKR3,2,protein-coding,REVIEWED,REVIEWED,45228
51554,ACKR4,3,protein-coding,REVIEWED,REVIEWED,5408
47,ACLY,17,protein-coding,REVIEWED,REVIEWED,63627
130013,ACMSD,2,protein-coding,VALIDATED,VALIDATED,64588
48,ACO1,9,protein-coding,REVIEWED,REVIEWED,66234
50,ACO2,22,protein-coding,REVIEWED,REVIEWED,60234
730249,ACOD1,13,protein-coding,VALIDATED,VALIDATED,10084
641371,ACOT1,14,protein-coding,VALIDATED,VALIDATED,50779
26027,ACOT11,1,protein-coding,REVIEWED,REVIEWED,86611
134526,ACOT12,5,protein-coding,VALIDATED,VALIDATED,85130
55856,ACOT13,6,protein-coding,REVIEWED,REVIEWED,38035
10965,ACOT2,14,protein-coding,VALIDATED,VALIDATED,8039
122970,ACOT4,14,protein-coding,VALIDATED,VALIDATED,4061
641372,ACOT6,14,protein-coding,VALIDATED,VALIDATED,7654
11332,ACOT7,1,protein-coding,REVIEWED,REVIEWED,129495
10005,ACOT8,20,protein-coding,REVIEWED,REVIEWED,15689
23597,ACOT9,X,protein-coding,REVIEWED,REVIEWED,42236
51,ACOX1,17,protein-coding,REVIEWED,REVIEWED,37928
8309,ACOX2,3,protein-coding,REVIEWED,REVIEWED,32067
8310,ACOX3,4,protein-coding,VALIDATED,VALIDATED,74463
55289,ACOXL,2,protein-coding,VALIDATED,VALIDATED,388072
52,ACP1,2,protein-coding,REVIEWED,REVIEWED,13415
53,ACP2,11,protein-coding,REVIEWED,REVIEWED,9546
93650,ACP4,19,protein-coding,REVIEWED,REVIEWED,4810
54,ACP5,19,protein-coding,REVIEWED,REVIEWED,4349
51205,ACP6,1,protein-coding,REVIEWED,REVIEWED,44362
390928,ACP7,19,protein-coding,VALIDATED,VALIDATED,29064
55,ACPP,3,protein-coding,REVIEWED,REVIEWED,51399
49,ACR,22,protein-coding,REVIEWED,REVIEWED,7076
84519,ACRBP,12,protein-coding,REVIEWED,REVIEWED,9339
56,ACRV1,11,protein-coding,REVIEWED,REVIEWED,8565
23205,ACSBG1,15,protein-coding,REVIEWED,REVIEWED,67240
81616,ACSBG2,19,protein-coding,VALIDATED,VALIDATED,57471
80221,ACSF2,17,protein-coding,VALIDATED,VALIDATED,48688
197322,ACSF3,16,protein-coding,REVIEWED,REVIEWED,66748
2180,ACSL1,4,protein-coding,REVIEWED,REVIEWED,70999
2181,ACSL3,2,protein-coding,REVIEWED,REVIEWED,83718
2182,ACSL4,X,protein-coding,REVIEWED,REVIEWED,92074
51703,ACSL5,10,protein-coding,REVIEWED,REVIEWED,54223
23305,ACSL6,5,protein-coding,REVIEWED,REVIEWED,62096
116285,ACSM1,16,protein-coding,VALIDATED,VALIDATED,74554
123876,ACSM2A,16,protein-coding,REVIEWED,REVIEWED,36209
348158,ACSM2B,16,protein-coding,VALIDATED,VALIDATED,39619
6296,ACSM3,16,protein-coding,VALIDATED,VALIDATED,55372
341392,ACSM4,12,protein-coding,VALIDATED,VALIDATED,24042
54988,ACSM5,16,protein-coding,VALIDATED,VALIDATED,31800
142827,ACSM6,10,protein-coding,VALIDATED,VALIDATED,34730
84532,ACSS1,20,protein-coding,REVIEWED,REVIEWED,51953
55902,ACSS2,20,protein-coding,REVIEWED,REVIEWED,53025
79611,ACSS3,12,protein-coding,VALIDATED,VALIDATED,178742
58,ACTA1,1,protein-coding,REVIEWED,REVIEWED,2852
59,ACTA2,10,protein-coding,REVIEWED,REVIEWED,56324
60,ACTB,7,protein-coding,REVIEWED,REVIEWED,3564
345651,ACTBL2,5,protein-coding,VALIDATED,VALIDATED,2794
70,ACTC1,15,protein-coding,REVIEWED,REVIEWED,7631
71,ACTG1,17,protein-coding,REVIEWED,REVIEWED,2896
72,ACTG2,2,protein-coding,REVIEWED,REVIEWED,26688
170487,ACTL10,20,protein-coding,VALIDATED,VALIDATED,2028
86,ACTL6A,3,protein-coding,REVIEWED,REVIEWED,25526
51412,ACTL6B,7,protein-coding,REVIEWED,REVIEWED,13365
10881,ACTL7A,9,protein-coding,REVIEWED,REVIEWED,1528
10880,ACTL7B,9,protein-coding,REVIEWED,REVIEWED,1408
81569,ACTL8,1,protein-coding,VALIDATED,VALIDATED,71751
284382,ACTL9,19,protein-coding,VALIDATED,VALIDATED,1434
87,ACTN1,14,protein-coding,REVIEWED,REVIEWED,105244
88,ACTN2,1,protein-coding,REVIEWED,REVIEWED,78178
89,ACTN3,11,protein-coding,REVIEWED,REVIEWED,16935
81,ACTN4,19,protein-coding,REVIEWED,REVIEWED,82917
55860,ACTR10,14,protein-coding,VALIDATED,VALIDATED,35522
10121,ACTR1A,10,protein-coding,REVIEWED,REVIEWED,23527
10120,ACTR1B,2,protein-coding,REVIEWED,REVIEWED,8160
10097,ACTR2,2,protein-coding,REVIEWED,REVIEWED,43559
10096,ACTR3,2,protein-coding,REVIEWED,REVIEWED,71621
57180,ACTR3B,7,protein-coding,REVIEWED,REVIEWED,311231
653857,ACTR3C,7,protein-coding,VALIDATED,VALIDATED,442311
79913,ACTR5,20,protein-coding,VALIDATED,VALIDATED,23993
64431,ACTR6,12,protein-coding,VALIDATED,VALIDATED,24338
93973,ACTR8,3,protein-coding,VALIDATED,VALIDATED,23211
139741,ACTRT1,X,protein-coding,REVIEWED,REVIEWED,1442
140625,ACTRT2,1,protein-coding,REVIEWED,REVIEWED,1422
84517,ACTRT3,3,protein-coding,VALIDATED,VALIDATED,2975
90,ACVR1,2,protein-coding,REVIEWED,REVIEWED,139451
91,ACVR1B,12,protein-coding,REVIEWED,REVIEWED,45413
130399,ACVR1C,2,protein-coding,VALIDATED,VALIDATED,102121
92,ACVR2A,2,protein-coding,REVIEWED,REVIEWED,86311
93,ACVR2B,3,protein-coding,REVIEWED,REVIEWED,38844
94,ACVRL1,12,protein-coding,REVIEWED,REVIEWED,16449
95,ACY1,3,protein-coding,REVIEWED,REVIEWED,5919
91703,ACY3,11,protein-coding,VALIDATED,VALIDATED,8279
97,ACYP1,14,protein-coding,REVIEWED,REVIEWED,16263
98,ACYP2,2,protein-coding,REVIEWED,REVIEWED,334463
100,ADA,20,protein-coding,REVIEWED,REVIEWED,32240
51816,ADA2,22,protein-coding,REVIEWED,REVIEWED,43065
132612,ADAD1,4,protein-coding,VALIDATED,VALIDATED,50850
161931,ADAD2,16,protein-coding,VALIDATED,VALIDATED,6050
161823,ADAL,15,protein-coding,VALIDATED,VALIDATED,24215
102,ADAM10,15,protein-coding,REVIEWED,REVIEWED,154775
4185,ADAM11,17,protein-coding,REVIEWED,REVIEWED,22696
8038,ADAM12,10,protein-coding,REVIEWED,REVIEWED,376174
8751,ADAM15,1,protein-coding,REVIEWED,REVIEWED,11505
6868,ADAM17,2,protein-coding,REVIEWED,REVIEWED,67335
8749,ADAM18,8,protein-coding,REVIEWED,REVIEWED,145497
8728,ADAM19,5,protein-coding,REVIEWED,REVIEWED,98520
2515,ADAM2,8,protein-coding,REVIEWED,REVIEWED,94555
8748,ADAM20,14,protein-coding,REVIEWED,REVIEWED,43926
8747,ADAM21,14,protein-coding,REVIEWED,REVIEWED,7749
53616,ADAM22,7,protein-coding,REVIEWED,REVIEWED,268747
8745,ADAM23,2,protein-coding,REVIEWED,REVIEWED,177587
10863,ADAM28,8,protein-coding,REVIEWED,REVIEWED,64979
11086,ADAM29,4,protein-coding,REVIEWED,REVIEWED,59823
11085,ADAM30,1,protein-coding,REVIEWED,REVIEWED,2992
203102,ADAM32,8,protein-coding,REVIEWED,REVIEWED,177389
80332,ADAM33,20,protein-coding,REVIEWED,REVIEWED,14726
8756,ADAM7,8,protein-coding,REVIEWED,REVIEWED,68570
101,ADAM8,10,protein-coding,REVIEWED,REVIEWED,14488
8754,ADAM9,8,protein-coding,REVIEWED,REVIEWED,108495
27299,ADAMDEC1,8,protein-coding,VALIDATED,VALIDATED,21729
9510,ADAMTS1,21,protein-coding,REVIEWED,REVIEWED,9123
81794,ADAMTS10,19,protein-coding,REVIEWED,REVIEWED,30496
81792,ADAMTS12,5,protein-coding,REVIEWED,REVIEWED,368658
11093,ADAMTS13,9,protein-coding,REVIEWED,REVIEWED,45065
140766,ADAMTS14,10,protein-coding,REVIEWED,REVIEWED,89936
170689,ADAMTS15,11,protein-coding,REVIEWED,REVIEWED,29340
170690,ADAMTS16,5,protein-coding,REVIEWED,REVIEWED,179975
170691,ADAMTS17,15,protein-coding,REVIEWED,REVIEWED,371487
170692,ADAMTS18,16,protein-coding,REVIEWED,REVIEWED,152987
171019,ADAMTS19,5,protein-coding,REVIEWED,REVIEWED,278419
9509,ADAMTS2,5,protein-coding,REVIEWED,REVIEWED,234580
80070,ADAMTS20,12,protein-coding,REVIEWED,REVIEWED,199129
9508,ADAMTS3,4,protein-coding,REVIEWED,REVIEWED,287831
9507,ADAMTS4,1,protein-coding,REVIEWED,REVIEWED,12611
11096,ADAMTS5,21,protein-coding,REVIEWED,REVIEWED,49847
11174,ADAMTS6,5,protein-coding,REVIEWED,REVIEWED,333928
11173,ADAMTS7,15,protein-coding,REVIEWED,REVIEWED,52274
11095,ADAMTS8,11,protein-coding,REVIEWED,REVIEWED,24071
56999,ADAMTS9,3,protein-coding,REVIEWED,REVIEWED,172347
92949,ADAMTSL1,9,protein-coding,VALIDATED,VALIDATED,1004436
9719,ADAMTSL2,9,protein-coding,REVIEWED,REVIEWED,43356
57188,ADAMTSL3,15,protein-coding,VALIDATED,VALIDATED,385757
54507,ADAMTSL4,1,protein-coding,REVIEWED,REVIEWED,11569
339366,ADAMTSL5,19,protein-coding,VALIDATED,VALIDATED,8172
11033,ADAP1,7,protein-coding,VALIDATED,VALIDATED,57508
55803,ADAP2,17,protein-coding,REVIEWED,REVIEWED,37663
103,ADAR,1,protein-coding,REVIEWED,REVIEWED,49504
104,ADARB1,21,protein-coding,REVIEWED,REVIEWED,151986
105,ADARB2,10,protein-coding,REVIEWED,REVIEWED,560164
23536,ADAT1,16,protein-coding,REVIEWED,REVIEWED,26445
134637,ADAT2,6,protein-coding,VALIDATED,VALIDATED,27919
113179,ADAT3,19,protein-coding,REVIEWED,REVIEWED,8234
57143,ADCK1,14,protein-coding,VALIDATED,VALIDATED,133897
90956,ADCK2,7,protein-coding,VALIDATED,VALIDATED,22220
203054,ADCK5,8,protein-coding,VALIDATED,VALIDATED,19481
107,ADCY1,7,protein-coding,REVIEWED,REVIEWED,148977
55811,ADCY10,1,protein-coding,REVIEWED,REVIEWED,107310
108,ADCY2,5,protein-coding,REVIEWED,REVIEWED,433852
109,ADCY3,2,protein-coding,REVIEWED,REVIEWED,100849
196883,ADCY4,14,protein-coding,REVIEWED,REVIEWED,16723
111,ADCY5,3,protein-coding,REVIEWED,REVIEWED,166693
112,ADCY6,12,protein-coding,REVIEWED,REVIEWED,22906
113,ADCY7,16,protein-coding,REVIEWED,REVIEWED,71998
114,ADCY8,8,protein-coding,REVIEWED,REVIEWED,261305
115,ADCY9,16,protein-coding,REVIEWED,REVIEWED,162799
116,ADCYAP1,18,protein-coding,REVIEWED,REVIEWED,7789
117,ADCYAP1R1,7,protein-coding,REVIEWED,REVIEWED,59139
118,ADD1,4,protein-coding,REVIEWED,REVIEWED,86220
119,ADD2,2,protein-coding,REVIEWED,REVIEWED,111460
120,ADD3,10,protein-coding,REVIEWED,REVIEWED,139216
79747,ADGB,6,protein-coding,VALIDATED,VALIDATED,216498
84435,ADGRA1,10,protein-coding,REVIEWED,REVIEWED,60747
25960,ADGRA2,8,protein-coding,VALIDATED,VALIDATED,47104
166647,ADGRA3,4,protein-coding,REVIEWED,REVIEWED,128685
575,ADGRB1,8,protein-coding,REVIEWED,REVIEWED,95307
576,ADGRB2,1,protein-coding,REVIEWED,REVIEWED,36959
577,ADGRB3,6,protein-coding,REVIEWED,REVIEWED,754229
283383,ADGRD1,12,protein-coding,REVIEWED,REVIEWED,187563
2015,ADGRE1,19,protein-coding,REVIEWED,REVIEWED,52905
30817,ADGRE2,19,protein-coding,REVIEWED,REVIEWED,45845
84658,ADGRE3,19,protein-coding,REVIEWED,REVIEWED,74744
976,ADGRE5,19,protein-coding,REVIEWED,REVIEWED,27582
266977,ADGRF1,6,protein-coding,VALIDATED,VALIDATED,44661
222611,ADGRF2,6,protein-coding,VALIDATED,VALIDATED,41208
165082,ADGRF3,2,protein-coding,VALIDATED,VALIDATED,38645
221393,ADGRF4,6,protein-coding,REVIEWED,REVIEWED,23477
221395,ADGRF5,6,protein-coding,VALIDATED,VALIDATED,102450
9289,ADGRG1,16,protein-coding,REVIEWED,REVIEWED,45505
10149,ADGRG2,X,protein-coding,REVIEWED,REVIEWED,133650
222487,ADGRG3,16,protein-coding,VALIDATED,VALIDATED,25381
139378,ADGRG4,X,protein-coding,REVIEWED,REVIEWED,115926
221188,ADGRG5,16,protein-coding,REVIEWED,REVIEWED,48844
57211,ADGRG6,6,protein-coding,REVIEWED,REVIEWED,144348
84873,ADGRG7,3,protein-coding,VALIDATED,VALIDATED,86586
22859,ADGRL1,19,protein-coding,REVIEWED,REVIEWED,58509
23266,ADGRL2,1,protein-coding,REVIEWED,REVIEWED,687829
23284,ADGRL3,4,protein-coding,REVIEWED,REVIEWED,877080
64123,ADGRL4,1,protein-coding,VALIDATED,VALIDATED,117047
84059,ADGRV1,5,protein-coding,REVIEWED,REVIEWED,605431
124,ADH1A,4,protein-coding,REVIEWED,REVIEWED,14663
125,ADH1B,4,protein-coding,REVIEWED,REVIEWED,15056
126,ADH1C,4,protein-coding,REVIEWED,REVIEWED,16554
127,ADH4,4,protein-coding,REVIEWED,REVIEWED,20642
128,ADH5,4,protein-coding,REVIEWED,REVIEWED,17811
130,ADH6,4,protein-coding,REVIEWED,REVIEWED,16609
131,ADH7,4,protein-coding,REVIEWED,REVIEWED,23250
137872,ADHFE1,8,protein-coding,VALIDATED,VALIDATED,36327
55256,ADI1,2,protein-coding,REVIEWED,REVIEWED,21661
149685,ADIG,20,protein-coding,VALIDATED,VALIDATED,7269
9370,ADIPOQ,3,protein-coding,REVIEWED,REVIEWED,15790
51094,ADIPOR1,1,protein-coding,REVIEWED,REVIEWED,17748
79602,ADIPOR2,12,protein-coding,VALIDATED,VALIDATED,97653
10974,ADIRF,10,protein-coding,VALIDATED,VALIDATED,2479
132,ADK,10,protein-coding,REVIEWED,REVIEWED,558119
133,ADM,11,protein-coding,REVIEWED,REVIEWED,2423
79924,ADM2,22,protein-coding,REVIEWED,REVIEWED,4717
199800,ADM5,19,protein-coding,VALIDATED,VALIDATED,2306
23394,ADNP,20,protein-coding,REVIEWED,REVIEWED,42296
22850,ADNP2,18,protein-coding,VALIDATED,VALIDATED,31316
84890,ADO,10,protein-coding,VALIDATED,VALIDATED,3724
134,ADORA1,1,protein-coding,REVIEWED,REVIEWED,39701
135,ADORA2A,22,protein-coding,REVIEWED,REVIEWED,18764
136,ADORA2B,17,protein-coding,REVIEWED,REVIEWED,48115
140,ADORA3,1,protein-coding,REVIEWED,REVIEWED,4693
83440,ADPGK,15,protein-coding,VALIDATED,VALIDATED,32419
141,ADPRH,3,protein-coding,REVIEWED,REVIEWED,10522
113622,ADPRHL1,13,protein-coding,VALIDATED,VALIDATED,31585
54936,ADPRHL2,1,protein-coding,REVIEWED,REVIEWED,5081
56985,ADPRM,17,protein-coding,VALIDATED,VALIDATED,15080
148,ADRA1A,8,protein-coding,REVIEWED,REVIEWED,132882
147,ADRA1B,5,protein-coding,REVIEWED,REVIEWED,72473
146,ADRA1D,20,protein-coding,REVIEWED,REVIEWED,28382
150,ADRA2A,10,protein-coding,REVIEWED,REVIEWED,3876
151,ADRA2B,2,protein-coding,REVIEWED,REVIEWED,3371
152,ADRA2C,4,protein-coding,REVIEWED,REVIEWED,1958
153,ADRB1,10,protein-coding,REVIEWED,REVIEWED,2862
154,ADRB2,5,protein-coding,REVIEWED,REVIEWED,2042
155,ADRB3,8,protein-coding,REVIEWED,REVIEWED,3672
11047,ADRM1,20,protein-coding,REVIEWED,REVIEWED,6802
158,ADSL,22,protein-coding,REVIEWED,REVIEWED,40909
159,ADSS,1,protein-coding,REVIEWED,REVIEWED,43643
122622,ADSSL1,14,protein-coding,REVIEWED,REVIEWED,23129
84830,ADTRP,6,protein-coding,VALIDATED,VALIDATED,66106
165,AEBP1,7,protein-coding,REVIEWED,REVIEWED,10246
121536,AEBP2,12,protein-coding,VALIDATED,VALIDATED,118139
64782,AEN,15,protein-coding,VALIDATED,VALIDATED,27681
166,AES,19,protein-coding,REVIEWED,REVIEWED,10198
60312,AFAP1,4,protein-coding,REVIEWED,REVIEWED,181214
134265,AFAP1L1,5,protein-coding,VALIDATED,VALIDATED,71800
84632,AFAP1L2,10,protein-coding,VALIDATED,VALIDATED,124019
4301,AFDN,6,protein-coding,REVIEWED,REVIEWED,145152
4299,AFF1,4,protein-coding,REVIEWED,REVIEWED,206449
2334,AFF2,X,protein-coding,REVIEWED,REVIEWED,500045
3899,AFF3,2,protein-coding,REVIEWED,REVIEWED,596723
27125,AFF4,5,protein-coding,REVIEWED,REVIEWED,88284
246269,AFG1L,6,protein-coding,REVIEWED,REVIEWED,230911
10939,AFG3L2,18,protein-coding,REVIEWED,REVIEWED,48366
173,AFM,4,protein-coding,REVIEWED,REVIEWED,22257
125061,AFMID,17,protein-coding,VALIDATED,VALIDATED,22601
174,AFP,4,protein-coding,REVIEWED,REVIEWED,19567
54812,AFTPH,2,protein-coding,VALIDATED,VALIDATED,68701
