gene	mean	median	longest_isoform	merged
ACTRT2	1437	1437	1437	1437
PRDM16-DT	1659	1486	4247	5601
PRDM16	3014	3723	8681	9770
MIR4251	61	61	61	61
AL008733.1	469	469	469	469
AL512383.1	2674	2674	2674	2674
AL590438.1	3456	3456	3456	3456
AL354743.2	728	728	728	728
AL354743.1	2775	2775	2775	2775
ARHGEF16	1779	2213	2824	5366
AL512413.1	378	378	378	378
MEGF6	2708	1484	7444	8821
MIR551A	96	96	96	96
AL513320.1	622	622	622	622
TPRG1L	2274	2274	2380	2380
WRAP73	1451	940	6141	7686
TP73	2880	2089	5195	6765
AL136528.1	728	728	728	728
AL136528.2	349	349	349	349
TP73-AS1	2620	2602	6418	9835
AL136528.3	161	161	161	161
CCDC27	2354	2252	2685	4238
SMIM1	500	509	547	760
LRRC47	1737	1105	4306	4512
RN7SL574P	281	281	281	281
AL365330.1	531	531	531	531
CEP104	1335	696	6420	7853
DFFB	2244	2901	3171	3889
C1orf174	2522	2478	3443	4292
LINC01134	1541	1286	3057	4083
LINC01346	1585	1287	3208	5001
LINC01345	1318	1323	1645	2167
LINC02780	853	758	1261	1838
AL805961.1	4781	4781	4781	4781
EEF1DP6	372	372	372	372
LINC01777	1309	1347	2078	2575
AL355602.1	3413	3413	3413	3413
Z98747.1	411	411	411	411
LINC01646	1054	1097	1526	3319
AJAP1	4794	2026	12060	12092
Z98886.1	2995	2995	3033	3228
BX005132.1	464	464	464	464
LINC02781	1593	1593	1593	1593
LINC02782	449	449	449	449
AL139823.1	1224	1224	1224	1224
N/A	744	481	4914	51495
Z98259.3	1234	824	2207	2313
Z98259.2	609	609	609	609
Z98259.1	1697	1697	1697	1697
Z97988.2	135	135	135	135
AL365255.1	607	607	849	1097
Z97988.1	73	73	73	73
MIR4689	70	70	70	70
NPHP4	3193	3532	5548	13182
KCNAB2	1941	1122	6004	17769
CHD5	4911	5087	9852	10021
AL031847.2	663	663	663	663
RPL22	1080	786	2279	4666
AL031847.1	378	378	378	378
RNF207	1417	1085	3980	6737
ICMT	2244	1919	4809	4924
LINC00337	1494	1300	2039	2362
HES3	710	710	710	710
GPR153	4194	4194	4194	4194
ACOT7	1511	1514	2426	4121
AL031848.2	837	837	837	837
HES2	1338	849	4262	5401
ESPN	1257	704	4734	7022
AL031848.1	351	351	351	351
TNFRSF25	1258	1119	3492	4311
PLEKHG5	4119	4060	5235	7135
NOL9	1873	731	6639	7273
RNU6-731P	111	111	111	111
AL591866.1	352	352	352	352
TAS1R1	1796	1841	2763	2763
ZBTB48	1619	1611	2551	4498
KLHL21	2573	1508	6442	6898
PHF13	2213	2213	3630	3630
THAP3	1034	939	2050	4085
DNAJC11	1320	755	3197	5079
LINC01672	748	585	1671	2174
AL591163.1	986	986	986	986
CAMTA1-DT	415	415	415	415
CAMTA1	1352	689	8309	9898
AL590128.1	286	286	286	286
AL512330.1	349	349	349	349
RNU1-8P	165	165	165	165
CAMTA1-IT1	367	367	367	367
CAMTA1-AS2	409	409	428	739
CAMTA1-AS1	361	361	361	361
AL359881.3	1724	1724	1724	1724
AL359881.2	560	560	560	560
AL359881.1	267	267	267	267
VAMP3	1137	956	2182	2738
Z98884.2	393	393	393	393
PER3	3202	2067	6266	8042
Z98884.1	830	830	830	830
UTS2	859	555	1604	1790
TNFRSF9	2231	1259	5961	6322
AL009183.1	345	345	345	345
PARK7	829	789	1127	2402
AL034417.1	103	103	103	103
AL034417.5	2169	2169	2239	4118
AL034417.4	1046	1046	1046	1046
ERRFI1	1491	995	3101	4183
AL034417.3	1993	1993	1993	1993
AL034417.2	800	800	800	800
AL358876.1	1075	1075	1075	1075
LINC01714	691	682	895	1000
RNU1-7P	164	164	164	164
AL358876.2	477	477	477	477
RNU6-991P	107	107	107	107
SLC45A1	1956	2154	2784	2888
AL356072.1	97	97	97	97
RERE	2307	742	8027	14206
RERE-AS1	669	516	1052	1178
AL096855.1	125	125	125	125
AL096855.2	368	368	368	368
RPL7P11	655	655	655	655
RPL7P7	701	701	701	701
AL357552.1	103	103	103	103
AL357552.2	415	415	415	415
AL357552.3	353	353	353	353
RPL23AP19	365	365	365	365
ENO1	1065	635	2551	5211
MIR6728	89	89	89	89
ENO1-AS1	456	456	456	456
RNU6-304P	107	107	107	107
HMGN2P17	772	772	772	772
AL139415.1	352	352	352	352
AL139415.2	163	163	163	163
CA6	1039	1040	1493	2965
RN7SL451P	303	303	303	303
SLC2A7	1542	1542	1542	1542
SLC2A5	1200	756	4082	6624
AL158048.1	184	184	184	184
GPR157	1962	458	5232	5339
MIR34AHG	2717	2998	4463	8724
MIR34A	110	110	110	110
LNCTAM34A	934	961	1275	2152
H6PD	5817	5598	9141	9316
SPSB1	1720	1386	3102	3385
BX323043.1	1765	1765	1765	1765
LINC02606	1253	837	2440	2621
RNA5SP40	110	110	110	110
AL928921.1	708	708	708	708
SLC25A33	1845	888	3861	3861
AL954705.1	559	559	559	559
TMEM201	2713	2877	3852	7167
PIK3CD	2900	3502	5480	6418
PIK3CD-AS1	1854	1854	1854	1854
AL691449.1	421	421	421	421
PIK3CD-AS2	939	939	939	939
CLSTN1	3286	3376	4785	5333
MZT1P1	246	246	246	246
AL357140.3	1313	1313	1977	1977
CTNNBIP1	1379	1031	3006	3339
AL357140.1	422	422	422	422
AL357140.4	762	762	762	762
LZIC	1574	1021	4982	5562
AL357140.2	440	440	440	440
NMNAT1	1529	1095	3735	4612
RN7SKP269	319	319	319	319
TMEM274P	444	444	444	444
MIR5697	78	78	78	78
AL603962.1	436	436	436	436
RBP7	744	744	862	863
UBE4B	2414	1198	6190	9244
AL590639.1	337	337	337	337
PGAM1P11	681	681	681	681
RNU6-828P	107	107	107	107
KIF1B	4714	5078	10660	17771
AL358013.1	86	86	86	86
RNU6-37P	107	107	107	107
RN7SL731P	293	293	293	293
AL139424.3	905	917	1411	2397
AL139424.2	872	906	1375	1485
PGD	791	661	2272	3338
AL139424.1	797	797	797	797
CENPS-CORT	896	626	1467	2242
CENPS	679	684	914	1748
CORT	1131	1131	1131	1131
DFFA	2713	1403	5994	6584
AL354956.1	455	455	455	455
PEX14	905	721	1928	2938
AL139423.2	2876	2876	2876	2876
RN7SL614P	280	280	280	280
CASZ1	2271	695	7927	11329
AL139423.1	7925	7925	7925	7925
HSPE1P24	238	238	238	238
C1orf127	2091	2307	2761	3575
CFL1P6	495	495	495	495
TARDBP	1272	868	5369	6077
AL109811.3	892	700	1793	2213
MASP2	1453	1457	2455	4255
AL109811.2	763	763	874	874
SRM	682	616	1264	1898
EXOSC10	1206	608	2796	5966
AL109811.1	2684	2684	2684	2684
EXOSC10-AS1	463	463	487	536
MTOR	2623	1111	8720	12158
MTOR-AS1	689	689	705	763
RNU6-537P	103	103	103	103
ANGPTL7	1416	1416	2225	2225
RNU6-291P	107	107	107	107
RPL39P6	150	150	150	150
UBIAD1	1680	1120	3649	5093
UBE2V2P3	437	437	437	437
AL031291.1	742	742	742	742
MTCYBP45	565	565	565	565
DISP3	3313	4398	5266	6448
AL590989.1	1051	1051	1051	1051
LINC01647	1353	1353	1353	1353
AL031731.1	2092	2092	2092	2092
FBXO2	955	783	2212	3163
FBXO44	1593	994	3314	3521
FBXO6	1058	928	1444	1735
MAD2L2	1082	1032	1860	3320
DRAXIN	7363	7363	7363	7363
AGTRAP	910	928	1124	2423
C1orf167	2107	1860	4520	6468
C1orf167-AS1	1867	1867	1867	1867
MTHFR	3038	2387	8389	11527
CLCN6	2370	1047	5632	8174
AL021155.3	173	173	173	173
AL021155.4	149	149	149	149
NPPA	811	852	855	1120
AL021155.2	108	108	108	108
NPPB	707	707	707	707
AL021155.1	2638	2638	2638	2638
AL021155.5	1052	906	1761	3113
RNU5E-1	119	119	119	119
RNU5E-4P	124	124	124	124
KIAA2013	2522	2544	2819	3286
PLOD1	1178	862	2976	5283
AL096840.3	595	595	595	595
MFN2	1823	567	4661	4958
AL096840.2	93	93	93	93
MIIP	1109	958	1704	2818
AL096840.1	113	113	113	113
MIR6729	65	65	65	65
RN7SL649P	275	275	275	275
TNFRSF8	2851	2412	3762	3814
RNU6-777P	104	104	104	104
RPL23AP89	255	255	255	255
AL357835.1	1194	1194	1194	1194
MIR7846	96	96	96	96
TNFRSF1B	2054	2065	3677	3768
MIR4632	61	61	61	61
RPL10P17	316	316	316	316
AL031276.1	124	124	124	124
VPS13D	4615	2962	16334	20745
LINC02766	443	443	443	443
DHRS3	1146	931	2183	3497
RNU6ATAC18P	101	101	101	101
MIR6730	67	67	67	67
AC254633.1	345	345	345	345
AADACL4	1575	1575	1575	1575
AC244670.1	112	112	112	112
AADACL3	3938	3938	4050	4050
C1orf158	1600	723	3384	3952
PRAMEF12	1786	1786	1786	1786
PRAMEF34P	1417	1417	1417	1417
PRAMEF36P	1029	1029	1422	1422
AC008958.1	682	682	682	682
PRAMEF31P	1371	1371	1371	1371
UBE2J2	836	661	2177	3332
AL162741.1	1565	1565	1565	1565
C1QTNF12	704	644	1036	1791
B3GALT6	2789	2789	2789	2789
SDF4	1773	1635	3532	4798
TNFRSF4	1058	1075	1707	1722
TNFRSF18	840	788	1082	1269
TTLL10	1152	643	2293	4032
TTLL10-AS1	3566	3566	3566	3566
AL390719.2	988	988	988	988
MIR429	83	83	83	83
MIR200A	90	90	90	90
MIR200B	95	95	95	95
LINC01342	1619	1619	1619	1619
C1orf159	1494	1040	3325	6125
AL390719.3	1111	1111	1111	1111
RNF223	1868	1868	1868	1868
AL390719.1	691	663	1095	1907
AL645608.8	830	830	830	830
AGRN	3767	3215	7476	10757
AL645608.5	402	402	402	402
ISG15	693	657	793	866
AL645608.1	472	472	472	472
AL645608.3	154	154	154	154
HES4	937	969	1046	1126
AL645608.7	2003	2003	2003	2003
PERM1	2560	3081	3386	3470
PLEKHN1	1810	2190	3178	3523
KLHL17	1378	950	2567	3397
NOC2L	1822	1579	4246	5588
SAMD11	1832	2258	2967	4202
AL645608.4	445	445	445	445
AL645608.2	3079	3079	3079	3079
PRAMEF17	311	311	311	311
PRAMEF20	1549	1549	1597	1597
LRRC38	2168	2168	2168	2168
AL354712.1	476	476	476	476
BRWD1P1	378	378	378	378
PDPN	1519	1077	3111	3714
RNA5SP41	101	101	101	101
AL359771.1	370	370	370	370
AL359771.2	130	130	130	130
PRDM2	2492	684	7956	10907
KAZN	3424	3649	6862	13850
RNU6-1265P	103	103	103	103
AL357873.1	976	976	1239	1549
KAZN-AS1	1168	1219	1396	2850
TBCAP2	326	326	326	326
AL031293.1	1447	1447	1447	1447
TMEM51-AS1	4028	3018	7078	11943
TMEM51	1697	1846	1962	2229
C1orf195	348	348	441	559
AL035405.1	728	728	728	728
AL391094.1	980	980	980	980
FHAD1	1778	1325	5089	12785
FHAD1-AS1	3092	3092	3092	3092
AL031283.2	729	729	729	729
AL031283.1	3267	3267	5182	5182
EFHD2	1663	1663	2422	2534
CTRC	1889	1890	3479	3480
CELA2A	678	588	916	1522
CELA2B	635	625	915	1449
CASP9	1596	1111	4487	5426
DNAJC16	2925	2357	6307	8568
SCARNA21B	140	140	140	140
AL121992.3	346	346	346	346
AGMAT	3075	3075	3075	3075
AL121992.1	2814	2814	2814	2814
CHCHD2P6	447	447	447	447
RNU7-179P	68	68	68	68
CD24P1	225	225	225	225
DDI2	2656	1060	10656	12167
RSC1A1	1857	1857	1857	1857
AL121992.2	256	256	256	256
PLEKHM2	2680	3752	4108	4108
AL450998.3	692	684	755	1527
SLC25A34	1387	612	3147	3356
SLC25A34-AS1	639	639	639	639
TMEM82	1070	1070	1443	1443
FBLIM1	1094	579	3504	4355
RPL12P14	490	490	490	490
UQCRHL	2191	2191	2191	2191
AL450998.1	438	438	438	438
AL450998.2	2454	2454	2454	2454
SPEN	5229	2420	12376	14311
AL034555.1	212	212	212	212
ZBTB17	1082	776	2761	4388
AL355994.4	562	562	562	562
AL355994.1	260	260	260	260
AL355994.5	236	236	236	236
TBC1D3P6	946	946	946	946
SRARP	3041	3041	3041	3041
AL355994.3	512	512	512	512
HSPB7	1742	2127	2891	3909
CLCNKA	1959	2244	3060	3358
AL355994.2	705	705	705	705
CLCNKB	1676	1836	2567	2939
FAM131C	1405	1405	1735	1735
EPHA2	1890	875	3946	4606
AL451042.2	903	903	903	903
AL451042.1	544	544	544	544
ARHGEF19-AS1	504	504	504	504
ARHGEF19	1367	803	3328	3794
ANO7L1	819	349	1794	2058
AL109627.1	2675	2675	2675	2675
CPLANE2	954	954	1573	1573
MT1XP1	186	186	186	186
FBXO42	2812	2037	6232	9015
SZRD1	1505	817	3484	4746
RPL22P3	382	382	382	382
SPATA21	1646	1476	3631	4518
NECAP2	1354	851	4588	5483
LINC01772	3241	3241	3241	3241
CROCCP3	1710	1568	5379	7241
AL137802.2	1111	1111	1111	1111
RNU1-1	164	164	164	164
BX284668.6	442	442	442	442
RNU1-2	164	164	164	164
CROCC	1982	1115	6660	8882
MFAP2	1039	819	2371	2712
AC113174.1	105	105	105	105
AL049569.2	385	385	385	385
AL049569.1	636	636	636	636
ATP13A2	1681	1081	3996	5280
SDHB	684	674	1013	2322
PADI2	2991	3000	4358	5996
LINC02783	2636	2636	4682	4682
AL590644.1	1228	1228	1228	1228
PADI1	2429	2679	3845	4902
PADI3	3189	3189	3189	3189
MIR3972	87	87	87	87
PADI4	1061	677	2267	2999
PADI6	2394	2394	2394	2394
RCC2-AS1	311	311	311	311
RCC2	2106	1795	4050	4089
ARHGEF10L	2737	3685	4619	7948
LINC02810	815	821	1025	1311
ACTL8	1756	1756	1842	1845
AL357509.1	2013	2013	2013	2013
LINC01654	2457	2457	2457	2457
IGSF21	1274	1146	1892	3038
AL365209.1	6477	6477	6477	6477
IGSF21-AS1	430	430	430	430
AL591896.1	491	491	491	491
KLHDC7A	5137	5137	5137	5137
DYNLL1P3	266	266	266	266
AL031737.1	222	222	222	222
PAX7	2835	1980	6215	6526
TAS1R2	2542	2542	2542	2542
ALDH4A1	1921	2033	3118	3694
MIR4695	74	74	74	74
MIR1290	78	78	78	78
IFFO2	2794	1217	6165	6223
AL137127.1	3404	3404	3404	3404
UBR4	2912	891	15892	23990
EMC1-AS1	507	507	507	507
EMC1	2225	779	6671	9620
MRTO4	1015	575	2062	2566
AL035413.2	339	339	339	339
AKR7L	1174	1119	1987	2843
AKR7A3	1215	1215	1215	1215
AL035413.1	490	490	490	490
AKR7A2	947	989	1362	1781
RNU6-1099P	107	107	107	107
SLC66A1	1555	1534	2179	2690
CAPZB	1180	1462	2072	3243
RN7SL277P	288	288	288	288
MICOS10	1133	655	3720	5478
RNU4-28P	144	144	144	144
AL031727.2	206	206	206	206
NBL1	1314	1180	2179	3603
MICOS10-NBL1	803	820	999	1276
AL031727.1	455	455	455	455
HTR6	3782	3782	3782	3782
TMCO4	1366	969	3005	4077
RNF186	1255	1255	1255	1255
AL391883.1	447	447	447	447
OTUD3	2423	465	6536	6906
PLA2G2E	783	783	783	783
RN7SL304P	301	301	301	301
PLA2G2A	892	887	1306	1683
PLA2G5	1201	1027	1918	3341
PLA2G2D	2246	2246	2627	2657
PLA2G2F	3427	3427	4129	6442
Z98257.1	1480	1172	2493	2930
PLA2G2C	1358	453	3253	3302
UBXN10-AS1	510	510	510	510
UBXN10	5559	5559	5559	5559
LINC01757	550	550	621	646
Z98257.2	1188	1188	1547	1638
VWA5B1	2605	2918	4480	6378
AL020998.1	229	229	229	229
LINC01141	1115	1001	2991	4301
AL139254.1	376	376	376	376
AL139254.2	1075	1075	1160	1344
AL139254.3	676	676	676	676
CAMK2N1	1560	1560	2310	2590
MUL1	2427	2427	2427	2427
RPS4XP4	760	760	760	760
FAM43B	2449	2449	2449	2449
CDA	785	785	809	820
PINK1	2709	2652	3822	4830
MIR6084	110	110	110	110
PINK1-AS	4425	4425	4425	4425
DDOST	1287	1357	2112	2707
KIF17	2065	1867	3967	4457
AL663074.2	437	437	437	437
SH2D5	1786	563	3755	4343
AL663074.1	299	299	299	299
HP1BP3	1681	743	6401	9771
EIF4G3	2710	1315	6205	9608
RNU7-200P	62	62	62	62
MIR1256	119	119	119	119
RPS15AP6	385	385	385	385
AL627311.1	115	115	115	115
HSPE1P27	296	296	296	296
AL031005.2	1125	1125	1125	1125
ECE1	1999	1421	5091	7294
AL031005.1	722	722	722	722
ECE1-AS1	1564	1564	1698	1798
PPP1R11P1	376	376	376	376
AL592309.1	650	650	650	650
AL592309.2	606	606	607	761
CROCCP2	2251	2043	4476	8068
NOTCH2NLA	617	617	957	1082
AL137798.1	339	339	339	339
AL021920.2	1351	1351	1351	1351
ESPNP	1739	1171	3481	4685
AL021920.1	406	406	406	406
NBPF3	1905	1650	4400	6781
PFN1P10	327	327	327	327
ALPL	1733	2131	2535	2983
LINC02596	821	821	821	821
RAP1GAP	2320	3238	4294	5767
USP48	1802	1290	4419	9395
AL590103.1	307	307	307	307
HSPG2	2755	833	14302	18159
LDLRAD2	2038	1180	3998	4476
AL590556.1	483	483	483	483
AL590556.2	1008	1008	1167	1167
CELA3B	689	701	993	1537
AL590556.3	1137	1137	1466	1608
RN7SL386P	297	297	297	297
RNU6-1022P	104	104	104	104
CELA3A	637	649	906	1226
RN7SL186P	297	297	297	297
RNU6-776P	104	104	104	104
LINC01635	1042	1039	1472	1590
LINC00339	1037	1068	1510	3740
CDC42	3172	1644	10227	15912
CDC42-AS1	2555	2555	2555	2555
AL031281.2	219	219	219	219
CDC42-IT1	707	707	707	707
AL031281.1	488	488	488	488
WNT4	1699	680	3937	4619
AL445253.1	812	812	812	812
MIR4418	62	62	62	62
PPIAP34	492	492	492	492
AL591122.1	1845	1845	1845	1845
ZBTB40	5979	8362	8986	9163
ZBTB40-IT1	273	273	273	273
EPHA8	3404	3404	5011	5426
MIR6127	106	106	106	106
C1QA	945	976	1091	1220
C1QC	1141	1155	1180	1329
C1QB	948	1010	1098	1489
EPHB2	3435	3147	10817	11651
MIR4684	82	82	82	82
AL512444.1	480	480	480	480
MIR4253	68	68	68	68
LACTBL1	1594	1594	1641	1641
TEX46	500	509	512	660
KDM1A	2225	2916	3053	5437
AL031428.1	680	680	680	680
MIR3115	68	68	68	68
AL031428.2	77	77	77	77
LUZP1	4601	3821	8930	9690
AL161672.1	818	818	818	818
RNU6-514P	107	107	107	107
RNU6-135P	101	101	101	101
HTR1D	2830	2830	2830	2830
AL109936.2	457	457	457	457
LINC01355	3975	4513	5475	6206
AL109936.8	597	597	597	597
HNRNPR	2437	1786	7743	8713
ZNF436	4119	4119	4459	4780
ZNF436-AS1	862	601	2560	2687
AL109936.1	93	93	93	93
AL109936.3	650	650	650	650
TCEA3	1050	955	1715	3671
AL357134.1	426	426	426	426
ASAP3	1858	2197	4045	5092
E2F2	2894	2894	5212	5505
AL021154.1	456	456	456	456
ID3	821	892	950	1496
AL450043.1	1322	1322	1322	1322
MDS2	1080	1033	1784	2145
AL451000.1	751	751	751	751
RPL11	919	850	1600	2658
ELOA-AS1	1017	1075	1512	3097
ELOA	3317	3803	5162	5399
PITHD1	1202	1289	1564	2147
LYPLA2	961	855	1656	2043
GALE	1039	879	2073	3946
HMGCL	1277	1357	2152	5631
FUCA1	2047	2047	2047	2047
CNR2	5260	5260	5260	5260
BTBD6P1	1267	1267	1267	1267
AL590609.2	210	210	210	210
MIR378F	78	78	78	78
H3P1	368	368	368	368
PNRC2	1689	2398	2500	2687
PNRC2P1	420	420	420	420
SRSF10	1957	1228	7645	11848
AL590609.1	243	243	243	243
AL591178.1	454	454	454	454
MYOM3	3665	4314	5758	9263
MYOM3-AS1	461	461	461	461
IL22RA1	2815	2815	2815	2815
IFNLR1	1830	1479	4567	4941
LINC02800	1850	1850	1850	1850
GRHL3-AS1	856	856	856	856
GRHL3	1494	1683	2865	3936
STPG1	1684	791	6007	8502
NIPAL3	2477	1716	5485	9396
RCAN3AS	425	426	559	762
RCAN3	2116	2393	6888	7163
NCMAP-DT	1441	1441	1441	1441
NCMAP	4010	4010	4052	4135
AL445686.1	346	346	346	346
AL445686.2	102	102	102	102
SRRM1	1291	744	3793	7627
AL445648.1	881	881	881	881
CLIC4	2028	1704	4259	4473
RNU6-1208P	107	107	107	107
RUNX3	2318	2617	4300	4483
MIR6731	72	72	72	72
AL445471.1	820	820	820	820
AL445471.2	2442	2442	2442	2442
MIR4425	84	84	84	84
LINC02793	932	932	1108	1431
AL050344.1	552	552	614	863
AL121994.1	403	403	403	403
AL031432.1	1000	1000	1000	1000
SYF2	1273	1341	1973	3783
AL031432.4	2199	2199	2199	2199
AL031432.5	747	747	747	747
RSRP1	1229	971	2960	4004
AL031432.3	485	485	485	485
AL928711.1	459	459	459	459
RHD	1669	1461	3014	3312
SDHDP6	480	480	480	480
AL031432.2	459	459	459	459
MACO1	2670	3091	3941	3980
LDLRAP1	1538	914	4674	5375
AL606491.1	483	483	483	483
MAN1C1	2223	2135	4633	9052
AL031280.1	2225	2225	2225	2225
SELENON	3311	4212	4314	4421
AL020996.2	451	451	568	792
AL020996.1	1079	517	2287	2773
MTFR1L	1242	826	3258	5787
AL020996.3	222	222	222	222
AUNIP	1323	1392	2117	2409
AL033528.3	850	850	850	850
PAQR7	3276	3276	3276	3276
AL033528.1	110	110	110	110
STMN1	1327	1137	2947	6239
SNRPFP2	251	251	251	251
AL033528.2	140	140	140	140
MIR3917	93	93	93	93
PAFAH2	1243	748	3499	3807
RNU6-110P	104	104	104	104
AL592064.1	125	125	125	125
AL592064.2	83	83	83	83
EXTL1	1372	687	4024	4547
SLC30A2	2358	3103	3255	3490
AL391650.2	942	942	942	942
TRIM63	1566	1566	1770	2571
PDIK1L	3371	4184	4280	4561
FAM110D	2486	2486	2486	2486
C1orf232	554	554	643	761
AL391650.1	825	676	1468	2073
ZNF593	668	668	698	732
CNKSR1	1404	831	2750	4199
CATSPER4	1729	1807	1888	2006
ZPLD2P	1014	860	2005	3060
AL355877.2	899	899	899	899
CEP85	2193	2523	3932	5140
AL355877.1	358	358	358	358
SH3BGRL3	759	759	768	876
UBXN11	1557	1501	2745	4893
CD52	476	468	581	935
CRYBG2	2054	796	6310	6946
AL451139.1	346	346	346	346
ZNF683	1095	936	1712	2380
LIN28A	3721	3721	3980	3980
DHDDS	1086	661	3346	5613
AL513365.1	535	535	535	535
DHDDS-AS1	835	835	1141	1262
HMGN2	1033	992	1942	3194
DPPA2P2	897	897	897	897
RPS6KA1	1453	723	3202	5725
MIR1976	52	52	52	52
RN7SL679P	304	304	304	304
AL627313.2	102	102	102	102
RNU7-29P	64	64	64	64
AL627082.2	104	104	104	104
AL627082.1	235	235	235	235
AL512408.1	2002	2002	2002	2002
ARID1A	3527	3043	8602	15971
PIGV	1340	824	2713	3382
RN7SL165P	291	291	291	291
ZDHHC18	1695	1002	5040	5456
SFN	1322	1322	1322	1322
GPN2	1403	739	4676	4977
AL034380.1	316	316	316	316
GPATCH3	1064	546	2125	2226
NUDC	1011	821	1794	2850
NR0B2	1165	1165	1165	1165
KDF1	1753	1753	1855	1855
RPL12P13	497	497	497	497
AL356390.1	386	386	386	386
OSTCP2	448	448	448	448
TRNP1	1267	1267	1960	1978
TENT5B	2382	2382	2382	2382
SLC9A1	2061	1535	4784	6237
AL590640.2	529	529	529	529
CHCHD3P3	666	666	666	666
NPM1P39	870	870	870	870
SNRPEP7	220	220	220	220
AL590640.1	379	379	379	379
WDTC1	3814	4273	5145	5907
AL590640.3	104	104	104	104
FO393419.3	106	106	106	106
TMEM222	1498	1556	2899	4533
RNU6-48P	107	107	107	107
ACTG1P20	468	468	468	468
SYTL1	1787	1900	2681	5611
MAP3K6	2549	3364	4454	5862
FCN3	989	998	1030	2168
CD164L2	1111	950	1438	1979
FO393419.1	355	355	355	355
GPR3	2137	2137	2137	2137
WASF2	3364	3364	5646	5646
FO393419.2	428	428	428	428
BX293535.1	283	283	283	283
AHDC1	2650	742	6427	8286
FGR	1722	2021	2638	3383
AL031729.1	192	192	192	192
LINC02574	441	441	441	441
IFI6	814	816	822	836
AL445490.1	541	549	658	1650
RNU6-949P	107	107	107	107
CHMP1AP1	661	661	661	661
RNU6-424P	105	105	105	105
AL020997.5	934	934	934	934
FAM76A	1585	1050	3579	4046
AL020997.1	349	349	349	349
RPEP3	616	616	616	616
STX12	1054	703	3037	3804
AL020997.2	184	184	184	184
AL020997.3	359	359	359	359
RNU6-1245P	116	116	116	116
AL020997.4	1475	1475	1475	1475
PPP1R8	1822	2339	2650	2814
SCARNA1	166	166	166	166
THEMIS2	1439	1105	2885	4645
RPA2	1162	1159	1837	1855
SMPDL3B	1437	1580	1914	2664
AL512288.1	491	491	491	491
XKR8	1247	1247	2178	2229
EYA3	3176	2156	6004	6428
AL512288.2	367	367	367	367
RN7SL559P	297	297	297	297
AL137792.2	239	239	239	239
AL137792.1	558	558	558	558
RNU6-176P	105	105	105	105
PTAFR	3247	4003	4201	4218
DNAJC8	985	753	1762	2892
ATP5IF1	873	568	1855	2224
AL353622.1	1953	1953	1953	1953
AL353622.2	423	423	423	423
