Peak.Chpreffed	Peak.Humreffed	ATAC11_SKM_Hyb1_Human_chpreffed_all_peaks.txt	ATAC11_SKM_Hyb1_Chimp_chpreffed_all_peaks.txt	Sum Human	Sum Chimp	Binomial p-value
peak_CM_HP_MN_PP_SKM_117741_promoter_PSMA4	peak_CM_HP_MN_PP_SKM_117741_promoter_PSMA4	27	21	27	21	0.470879013621712
peak_CM_HP_MN_PP_SKM_351441_promoter_GSN	peak_CM_HP_MN_PP_SKM_351441_promoter_GSN	27	21	27	21	0.470879013621712
peak_CM_HP_MN_PP_SKM_165429_promoter_BCAT2	peak_CM_HP_MN_PP_SKM_165429_promoter_BCAT2	27	21	27	21	0.470879013621712
peak_CM_HP_MN_PP_SKM_163828_promoter_PLAUR	peak_CM_HP_MN_PP_SKM_163828_promoter_PLAUR	66	57	66	57	0.47085074563938256
peak_CM_HP_MN_PP_SKM_70908_promoter_ADIPOR2	peak_CM_HP_MN_PP_SKM_70908_promoter_ADIPOR2	51	43	51	43	0.4704921148903704
peak_CM_HP_MN_PP_SKM_262964_promoter_PDCD6	peak_CM_HP_MN_PP_SKM_262964_promoter_PDCD6	21	27	21	27	0.470879013621712
peak_CM_MN_PP_SKM_56867_enhancer_LRRC4C_1365542.0_RAG2_2387126.5	peak_CM_MN_PP_SKM_56867_enhancer_LRRC4C_1324567.5_RAG2_2371312.5	21	27	21	27	0.470879013621712
peak_CM_MN_PP_SKM_343576_enhancer_B4GALT1_20270.5_SPINK4_52751.0	peak_CM_MN_PP_SKM_343576_enhancer_B4GALT1_20240.5_SPINK4_52673.0	27	21	27	21	0.470879013621712
peak_CM_HP_MN_PP_SKM_226830_promoter_SFMBT1	peak_CM_HP_MN_PP_SKM_226830_promoter_SFMBT1	21	27	21	27	0.470879013621712
peak_CM_HP_MN_PP_SKM_275060_promoter_ZCCHC10	peak_CM_HP_MN_PP_SKM_275060_promoter_ZCCHC10	31	38	31	38	0.47036853185814453
peak_HP_MN_PP_SKM_143785_enhancer_FOXJ1_3126.0_EXOC7_32874.0	peak_HP_MN_PP_SKM_143785_enhancer_FOXJ1_3134.0_EXOC7_34412.5	21	27	21	27	0.470879013621712
peak_CM_HP_MN_PP_SKM_315241_promoter_DNAJC2	peak_CM_HP_MN_PP_SKM_315241_promoter_DNAJC2	31	38	31	38	0.47036853185814453
peak_CM_HP_MN_PP_SKM_45343_promoter_PIK3AP1	peak_CM_HP_MN_PP_SKM_45343_promoter_PIK3AP1	21	27	21	27	0.470879013621712
peak_CM_HP_MN_PP_138194_promoter_KCNH4	peak_CM_HP_MN_PP_138194_promoter_KCNH4	21	27	21	27	0.470879013621712
peak_CM_HP_MN_PP_SKM_211498_promoter_SYNJ1	peak_CM_HP_MN_PP_SKM_211498_promoter_SYNJ1	73	82	73	82	0.5206333734262375
peak_CM_HP_MN_PP_SKM_179787_promoter_REV1	peak_CM_HP_MN_PP_SKM_179787_promoter_REV1	119	93	119	93	0.08573734055389333
peak_CM_HP_MN_PP_SKM_339949_enhancer_FAM203A_10362.0_FAM203B_10362.0	peak_CM_HP_MN_PP_SKM_339949_enhancer_FAM203A_10465.5_FAM203B_10465.5	59	47	59	47	0.28528442186565844
peak_CM_HP_MN_PP_SKM_100202_promoter_CHD8	peak_CM_HP_MN_PP_SKM_100202_promoter_CHD8	65	49	65	49	0.15976150778501857
peak_CM_HP_MN_PP_SKM_76255_enhancer_ARID2_2139.5_SCAF11_270991.5	peak_CM_HP_MN_PP_SKM_76255_enhancer_ARID2_2141.5_SCAF11_262988.0	64	54	64	54	0.4074855344889006
peak_CM_HP_MN_PP_SKM_72336_enhancer_SLC2A3_31770.5_FOXJ2_61067.5	peak_CM_HP_MN_PP_SKM_72336_enhancer_SLC2A3_34577.5_FOXJ2_61905.5	39	25	39	25	0.10342187831608088
peak_CM_HP_MN_PP_SKM_159362_promoter_OCEL1	peak_CM_HP_MN_PP_SKM_159362_promoter_OCEL1	65	54	65	54	0.35935826390511194
peak_CM_HP_MN_PP_SKM_120319_enhancer_FAM169B_35911.5_IGF1R_101054.5	peak_CM_HP_MN_PP_SKM_120319_enhancer_FAM169B_33951.5_IGF1R_100755.5	36	24	36	24	0.1550019040032606
peak_CM_HP_MN_PP_SKM_274986_promoter_KIF3A	peak_CM_HP_MN_PP_SKM_274986_promoter_KIF3A	25	33	25	33	0.358143301806138
peak_CM_HP_MN_PP_SKM_248854_promoter_CORIN	peak_CM_HP_MN_PP_SKM_248854_promoter_CORIN	35	24	35	24	0.19252645776146274
peak_CM_HP_MN_PP_SKM_57438_promoter_TSPAN18	peak_CM_HP_MN_PP_SKM_57438_promoter_TSPAN18	38	46	38	46	0.4452046690465761
peak_CM_HP_MN_PP_SKM_9626_promoter_DPH2	peak_CM_HP_MN_PP_SKM_9626_promoter_DPH2	25	35	25	35	0.2450608330229457
peak_CM_HP_MN_PP_SKM_121598_promoter_MLST8	peak_CM_HP_MN_PP_SKM_121598_promoter_MLST8	37	28	37	28	0.3210841356849955
peak_CM_HP_MN_PP_SKM_326111_promoter_HMBOX1_INTS9	peak_CM_HP_MN_PP_SKM_326111_promoter_INTS9_HMBOX1	65	77	65	77	0.35599982591510815
peak_CM_HP_MN_PP_SKM_8041_promoter_SH3D21	peak_CM_HP_MN_PP_SKM_8041_promoter_SH3D21	79	63	79	63	0.20795842151862862
peak_CM_HP_MN_PP_SKM_103003_enhancer_NEMF_9727.0_ARF6_31252.5	peak_CM_HP_MN_PP_SKM_103003_enhancer_NEMF_9584.5_ARF6_31269.0	82	94	82	94	0.40708723450395573
peak_CM_HP_MN_PP_SKM_108714_promoter_DICER1	peak_CM_HP_MN_PP_SKM_108714_promoter_DICER1	58	66	58	66	0.5297694043652669
peak_MN_PP_SKM_331464_enhancer_RDH10_156665.5_RPL7_157602.0	peak_MN_PP_SKM_331464_enhancer_RDH10_157073.5_RPL7_158009.5	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_1683_enhancer_VAMP3_67296.0_PER3_80271.5	peak_CM_HP_MN_PP_SKM_1683_enhancer_VAMP3_66584.5_PER3_79578.5	32	39	32	39	0.47668779343427553
peak_CM_HP_MN_PP_SKM_8003_promoter_MAP7D1	peak_CM_HP_MN_PP_SKM_8003_promoter_MAP7D1	75	84	75	84	0.5259245063255041
peak_CM_HP_MN_PP_SKM_292797_promoter_UFL1	peak_CM_HP_MN_PP_SKM_292797_promoter_UFL1	44	52	44	52	0.47515204998657373
peak_CM_HP_MN_PP_SKM_163371_promoter_EXOSC5_BCKDHA	peak_CM_HP_MN_PP_SKM_163371_promoter_EXOSC5_BCKDHA	32	39	32	39	0.47668779343427553
peak_CM_HP_MN_PP_SKM_218521_promoter_FAM118A	peak_CM_HP_MN_PP_SKM_218521_promoter_FAM118A	44	52	44	52	0.47515204998657373
peak_CM_HP_MN_PP_SKM_57746_promoter_PEX16	peak_CM_HP_MN_PP_SKM_57746_promoter_PEX16	68	59	68	59	0.4779219422067188
peak_CM_HP_MN_PP_SKM_173446_promoter_KCNG3	peak_CM_HP_MN_PP_SKM_173446_promoter_KCNG3	39	32	39	32	0.47668779343427553
peak_CM_HP_MN_PP_SKM_276487_enhancer_SLC4A9_2608.5_HBEGF_10864.5	peak_CM_HP_MN_PP_SKM_276487_enhancer_SLC4A9_2596.5_HBEGF_10877.5	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_8237_promoter_GRIK3	peak_CM_HP_MN_PP_SKM_8237_promoter_GRIK3	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_323647_promoter_FAM167A	peak_CM_HP_MN_PP_323647_promoter_FAM167A	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_234166_enhancer_PLXNA1_4583.5_C3orf56_208560.5	peak_CM_HP_MN_PP_SKM_234166_enhancer_PLXNA1_4580.0_C3orf56_209034.0	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_163226_promoter_C19orf54_SNRPA	peak_CM_HP_MN_PP_SKM_163226_promoter_C19orf54_SNRPA	94	104	94	104	0.5225360220908674
peak_CM_HP_MN_PP_SKM_305815_enhancer_NOD1_9183.0_GGCT_34934.5	peak_CM_HP_MN_PP_SKM_305815_enhancer_NOD1_8878.5_GGCT_34960.0	32	39	32	39	0.47668779343427553
peak_CM_HP_MN_PP_SKM_227399_promoter_HESX1_APPL1	peak_CM_HP_MN_PP_SKM_227399_promoter_HESX1_APPL1	45	53	45	53	0.4796924995674869
peak_CM_MN_PP_SKM_310961_enhancer_FZD9_4608.0_BAZ1B_92953.5	peak_CM_MN_PP_SKM_310961_enhancer_FZD9_4587.0_BAZ1B_92939.5	22	28	22	28	0.47988766169832786
peak_SKM_301269_enhancer_WDR27_143823.5_C6orf120_143992.0	peak_SKM_301269_enhancer_WDR27_143015.5_C6orf120_143184.5	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_78484_promoter_NABP2_RNF41	peak_CM_HP_MN_PP_SKM_78484_promoter_RNF41_NABP2	85	74	85	74	0.42783981112503305
peak_CM_HP_MN_PP_61070_promoter_UNC93B1	peak_CM_HP_MN_PP_61070_promoter_UNC93B1	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_357102_promoter_UXT	peak_CM_HP_MN_PP_SKM_357102_promoter_UXT	32	39	32	39	0.47668779343427553
peak_CM_HP_MN_PP_SKM_47377_promoter_SMNDC1	peak_CM_HP_MN_PP_SKM_47377_promoter_SMNDC1	44	52	44	52	0.47515204998657373
peak_CM_HP_MN_PP_SKM_164293_promoter_ERCC1	peak_CM_HP_MN_PP_SKM_164293_promoter_ERCC1	32	39	32	39	0.47668779343427553
peak_CM_HP_MN_PP_SKM_9106_enhancer_EDN2_51508.0_FOXO6_72294.5	peak_CM_HP_MN_PP_SKM_9106_enhancer_EDN2_51479.5_FOXO6_71496.5	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_10921_promoter_ZFYVE9	peak_CM_HP_MN_PP_SKM_10921_promoter_ZFYVE9	74	83	74	83	0.5233007934374067
peak_CM_HP_MN_PP_SKM_330037_promoter_ASPH	peak_CM_HP_MN_PP_SKM_330037_promoter_ASPH	59	67	59	67	0.5330527502675584
peak_CM_HP_MN_PP_SKM_60265_promoter_SYVN1	peak_CM_HP_MN_PP_SKM_60265_promoter_SYVN1	74	83	74	83	0.5233007934374067
peak_CM_SKM_139933_enhancer_TMEM92_7322.0_COL1A1_65432.0	peak_CM_SKM_139933_enhancer_TMEM92_7301.5_COL1A1_65520.5	45	53	45	53	0.4796924995674869
peak_CM_HP_MN_PP_SKM_351414_promoter_CNTRL	peak_CM_HP_MN_PP_SKM_351414_promoter_CNTRL	58	66	58	66	0.5297694043652669
peak_CM_HP_MN_PP_SKM_351365_promoter_FBXW2	peak_CM_HP_MN_PP_SKM_351365_promoter_FBXW2	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_145897_promoter_FN3KRP	peak_CM_HP_MN_PP_SKM_145897_promoter_FN3KRP	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_281671_promoter_ZFP2	peak_CM_HP_MN_PP_SKM_281671_promoter_ZFP2	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_164953_promoter_DHX34	peak_CM_HP_MN_PP_SKM_164953_promoter_DHX34	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_343660_promoter_NOL6	peak_CM_HP_MN_PP_SKM_343660_promoter_NOL6	45	53	45	53	0.4796924995674869
peak_CM_HP_MN_PP_SKM_117382_promoter_RCN2	peak_CM_HP_MN_PP_SKM_117382_promoter_RCN2	59	67	59	67	0.5330527502675584
peak_CM_HP_MN_PP_SKM_278800_promoter_CYFIP2	peak_CM_HP_MN_PP_SKM_278800_promoter_CYFIP2	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_238149_promoter_SLC33A1	peak_CM_HP_MN_PP_SKM_238149_promoter_SLC33A1	52	44	52	44	0.47515204998657373
peak_CM_HP_MN_PP_SKM_14435_promoter_GNG5	peak_CM_HP_MN_PP_SKM_14435_promoter_GNG5	76	85	76	85	0.5285056825149888
peak_CM_HP_MN_PP_SKM_139889_promoter_SAMD14	peak_CM_HP_MN_PP_SKM_139889_promoter_SAMD14	32	39	32	39	0.47668779343427553
peak_CM_HP_PP_SKM_27011_enhancer_PRELP_35278.5_OPTC_55592.0	peak_CM_HP_PP_SKM_27011_enhancer_PRELP_35203.5_OPTC_54460.0	22	28	22	28	0.47988766169832786
peak_CM_HP_MN_PP_SKM_45000_promoter_NOC3L	peak_CM_HP_MN_PP_SKM_45000_promoter_NOC3L	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_118547_promoter_ZNF592	peak_CM_HP_MN_PP_SKM_118547_promoter_ZNF592	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_155101_promoter_LMNB2	peak_CM_HP_MN_PP_SKM_155101_promoter_LMNB2	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_241366_promoter_TRA2B	peak_CM_HP_MN_PP_SKM_241366_promoter_TRA2B	34	41	34	41	0.48868297090314317
peak_CM_HP_MN_PP_139481_enhancer_HOXB3_4407.5_HOXB4_7472.5	peak_CM_HP_MN_PP_139481_enhancer_HOXB3_4415.0_HOXB4_7470.0	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_92325_promoter_UFM1	peak_CM_HP_MN_PP_SKM_92325_promoter_UFM1	34	41	34	41	0.48868297090314317
peak_CM_HP_MN_PP_SKM_120427_enhancer_SYNM_46140.5_PGPEP1L_51425.5	peak_CM_HP_MN_PP_SKM_120427_enhancer_SYNM_45967.5_PGPEP1L_51306.0	41	34	41	34	0.48868297090314317
peak_CM_HP_MN_PP_SKM_232101_promoter_TAGLN3	peak_CM_HP_MN_PP_SKM_232101_promoter_TAGLN3	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_281854_promoter_CANX	peak_CM_HP_MN_PP_SKM_281854_promoter_CANX	95	105	95	105	0.5246223557223147
peak_CM_HP_MN_PP_SKM_121886_enhancer_IL32_6634.0_MMP25_12171.0	peak_CM_HP_MN_PP_SKM_121886_enhancer_IL32_6596.0_MMP25_12336.0	47	55	47	55	0.48843446453263273
peak_CM_HP_MN_PP_SKM_336838_promoter_C8orf76	peak_CM_HP_MN_PP_SKM_336838_promoter_C8orf76	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_107177_promoter_TMED8_SAMD15	peak_CM_HP_MN_PP_SKM_107177_promoter_TMED8_SAMD15	70	61	70	61	0.48472021812853044
peak_CM_HP_MN_PP_SKM_92219_promoter_SUPT20H	peak_CM_HP_MN_PP_SKM_92219_promoter_SUPT20H	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_305322_enhancer_HOXA7_4172.5_HOXA9_4709.0	peak_CM_HP_MN_PP_SKM_305322_enhancer_HOXA7_4186.5_HOXA9_4688.5	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_266210_promoter_C5orf22_DROSHA	peak_CM_HP_MN_PP_SKM_266210_promoter_DROSHA_C5orf22	62	70	62	70	0.5425074179193997
peak_CM_HP_MN_PP_SKM_20518_promoter_RIT1	peak_CM_HP_MN_PP_SKM_20518_promoter_RIT1	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_165555_promoter_PPFIA3	peak_CM_HP_MN_PP_SKM_165555_promoter_PPFIA3	29	23	29	23	0.48845566937989204
peak_CM_HP_MN_PP_SKM_114284_promoter_POLR2M	peak_CM_HP_MN_PP_SKM_114284_promoter_POLR2M	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_253662_promoter_TSPAN5	peak_CM_HP_MN_PP_SKM_253662_promoter_TSPAN5	62	70	62	70	0.5425074179193997
peak_CM_HP_MN_PP_SKM_145815_promoter_NARF	peak_CM_HP_MN_PP_SKM_145815_promoter_NARF	98	108	98	108	0.5307221711313294
peak_CM_HP_MN_PP_SKM_345577_promoter_C9orf41	peak_CM_HP_MN_PP_SKM_345577_promoter_C9orf41	47	55	47	55	0.48843446453263273
peak_CM_HP_MN_PP_SKM_281277_promoter_UIMC1	peak_CM_HP_MN_PP_SKM_281277_promoter_UIMC1	61	69	61	69	0.5394195522817201
peak_CM_HP_MN_PP_SKM_6291_enhancer_AHDC1_28586.5_FGR_59608.5	peak_CM_HP_MN_PP_SKM_6291_enhancer_AHDC1_28536.5_FGR_59526.5	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_141806_enhancer_ERN1_16621.5_TEX2_116362.5	peak_CM_HP_MN_PP_SKM_141806_enhancer_ERN1_15632.5_TEX2_117206.0	47	55	47	55	0.48843446453263273
peak_CM_HP_MN_PP_SKM_176814_enhancer_C2orf42_39730.0_C2orf42_48660.5	peak_CM_HP_MN_PP_SKM_176814_enhancer_C2orf42_39351.5_C2orf42_48300.5	71	62	71	62	0.48802234383086557
peak_CM_HP_MN_PP_SKM_254903_promoter_CASP6	peak_CM_HP_MN_PP_SKM_254903_promoter_CASP6	34	41	34	41	0.48868297090314317
peak_CM_HP_MN_PP_SKM_215967_promoter_THOC5	peak_CM_HP_MN_PP_SKM_215967_promoter_THOC5	54	46	54	46	0.48411841360729146
peak_CM_HP_MN_PP_SKM_322689_promoter_WDR60	peak_CM_HP_MN_PP_SKM_322689_promoter_WDR60	60	68	60	68	0.5362687140711067
peak_CM_HP_MN_PP_SKM_329702_promoter_TOX	peak_CM_HP_MN_PP_SKM_329702_promoter_TOX	46	54	46	54	0.48411841360729146
peak_HP_MN_PP_125658_enhancer_C16orf78_183270.5_ZNF423_265192.5	peak_HP_MN_PP_125658_enhancer_C16orf78_183447.0_ZNF423_265442.0	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_321660_promoter_ACTR3B	peak_CM_HP_MN_PP_SKM_321660_promoter_ACTR3B	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_133554_promoter_SLC2A4	peak_CM_HP_MN_PP_SKM_133554_promoter_SLC2A4	34	41	34	41	0.48868297090314317
peak_CM_HP_MN_PP_SKM_195057_promoter_PSMD1	peak_CM_HP_MN_PP_SKM_195057_promoter_PSMD1	29	23	29	23	0.48845566937989204
peak_CM_HP_MN_PP_SKM_286390_promoter_SRSF3	peak_CM_HP_MN_PP_SKM_286390_promoter_SRSF3	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_214502_enhancer_SLC25A1_7093.0_GSC2_22559.0	peak_CM_HP_MN_PP_SKM_214502_enhancer_SLC25A1_7057.0_GSC2_21406.0	23	29	23	29	0.48845566937989204
peak_CM_HP_MN_PP_SKM_57816_promoter_CREB3L1	peak_CM_HP_MN_PP_SKM_57816_promoter_CREB3L1	29	23	29	23	0.48845566937989204
peak_CM_HP_MN_PP_SKM_95690_promoter_DIS3_PIBF1	peak_CM_HP_MN_PP_SKM_95690_promoter_DIS3_PIBF1	47	55	47	55	0.48843446453263273
peak_CM_HP_MN_PP_SKM_337515_enhancer_MYC_119134.0_POU5F1B_439350.0	peak_CM_HP_MN_PP_SKM_337515_enhancer_MYC_118704.0_POU5F1B_439028.0	29	23	29	23	0.48845566937989204
peak_CM_HP_MN_PP_SKM_219292_promoter_MAPK11	peak_CM_HP_MN_PP_SKM_219292_promoter_MAPK11	29	23	29	23	0.48845566937989204
peak_CM_HP_MN_PP_SKM_45450_promoter_FRAT1	peak_CM_HP_MN_PP_SKM_45450_promoter_FRAT1	54	46	54	46	0.48411841360729146
peak_CM_HP_MN_PP_SKM_186235_promoter_NR4A2	peak_CM_HP_MN_PP_SKM_186235_promoter_NR4A2	55	47	55	47	0.48843446453263273
peak_CM_HP_MN_PP_SKM_338533_promoter_KHDRBS3	peak_CM_HP_MN_PP_SKM_338533_promoter_KHDRBS3	33	40	33	40	0.48278855684402133
peak_CM_HP_MN_PP_SKM_255175_promoter_AP1AR	peak_CM_HP_MN_PP_SKM_255175_promoter_AP1AR	86	103	86	103	0.24442089173277493
peak_CM_HP_MN_PP_SKM_304760_promoter_TRA2A	peak_CM_HP_MN_PP_SKM_304760_promoter_TRA2A	48	37	48	37	0.2779992890805517
peak_CM_HP_MN_PP_SKM_355587_promoter_TMEM141	peak_CM_HP_MN_PP_SKM_355587_promoter_TMEM141	79	62	79	62	0.17762983675110397
peak_CM_HP_MN_PP_SKM_112414_promoter_ZFYVE19_DNAJC17	peak_CM_HP_MN_PP_SKM_112414_promoter_ZFYVE19_DNAJC17	46	38	46	38	0.4452046690465761
peak_CM_HP_MN_PP_SKM_16996_promoter_PRPF38B	peak_CM_HP_MN_PP_SKM_16996_promoter_PRPF38B	63	53	63	53	0.4034696996553114
peak_CM_HP_MN_PP_SKM_283487_promoter_BMP6	peak_CM_HP_MN_PP_SKM_283487_promoter_BMP6	26	33	26	33	0.43499280512215344
peak_CM_HP_MN_PP_SKM_320862_promoter_PDIA4	peak_CM_HP_MN_PP_SKM_320862_promoter_PDIA4	90	79	90	79	0.44185016848818276
peak_CM_HP_MN_PP_SKM_121098_enhancer_FBXL16_3933.5_METRN_5282.5	peak_CM_HP_MN_PP_SKM_121098_enhancer_FBXL16_4049.0_METRN_5276.0	34	24	34	24	0.23704711476271959
peak_CM_HP_MN_PP_SKM_213943_enhancer_SLC19A1_102045.5_COL18A1_192378.0	peak_CM_HP_MN_PP_SKM_213943_enhancer_SLC19A1_101135.5_COL18A1_187507.5	48	36	48	36	0.2298644069691203
peak_CM_HP_MN_PP_SKM_348649_promoter_C9orf156	peak_CM_HP_MN_PP_SKM_348649_promoter_C9orf156	35	27	35	27	0.37415171240479483
peak_CM_HP_MN_PP_SKM_177705_promoter_POLE4	peak_CM_HP_MN_PP_SKM_177705_promoter_POLE4	40	29	40	29	0.22840022535329702
peak_CM_HP_MN_PP_SKM_355700_promoter_SAPCD2	peak_CM_HP_MN_PP_SKM_355700_promoter_SAPCD2	27	34	27	34	0.4426260049464714
peak_CM_HP_MN_PP_SKM_143482_promoter_NT5C	peak_CM_HP_MN_PP_SKM_143482_promoter_NT5C	35	25	35	25	0.2450608330229457
peak_CM_HP_MN_PP_SKM_138921_promoter_GJC1	peak_CM_HP_MN_PP_SKM_138921_promoter_GJC1	32	25	32	25	0.42704285650325524
peak_CM_HP_MN_PP_SKM_310135_promoter_GUSB	peak_CM_HP_MN_PP_SKM_310135_promoter_GUSB	33	26	33	26	0.43499280512215344
peak_CM_HP_MN_PP_SKM_330567_promoter_CRH	peak_CM_HP_MN_PP_SKM_330567_promoter_CRH	27	35	27	35	0.37415171240479483
peak_CM_HP_MN_PP_SKM_62783_enhancer_WNT11_28168.0_WNT11_32425.5	peak_CM_HP_MN_PP_SKM_62783_enhancer_WNT11_24959.5_WNT11_29220.5	71	53	71	53	0.1265100563218553
peak_CM_HP_MN_PP_SKM_285375_promoter_HMGN4	peak_CM_HP_MN_PP_SKM_285375_promoter_HMGN4	63	71	63	71	0.5455343664798736
peak_CM_HP_MN_PP_SKM_24752_promoter_LAMC1	peak_CM_HP_MN_PP_SKM_24752_promoter_LAMC1	63	71	63	71	0.5455343664798736
peak_CM_HP_MN_PP_SKM_214506_promoter_SLC25A1	peak_CM_HP_MN_PP_SKM_214506_promoter_SLC25A1	97	84	97	84	0.3724648239355135
peak_CM_HP_MN_PP_SKM_160828_promoter_CCNE1	peak_CM_HP_MN_PP_SKM_160828_promoter_CCNE1	30	24	30	24	0.49661743531793345
peak_CM_HP_MN_PP_SKM_8069_promoter_STK40	peak_CM_HP_MN_PP_SKM_8069_promoter_STK40	73	63	73	63	0.4403825433795311
peak_CM_HP_MN_PP_SKM_37674_promoter_PARD3	peak_CM_HP_MN_PP_SKM_37674_promoter_PARD3	56	48	56	48	0.4926450664865037
peak_CM_HP_MN_PP_SKM_132736_promoter_SHPK_CTNS	peak_CM_HP_MN_PP_SKM_132736_promoter_SHPK_CTNS	64	72	64	72	0.5485023614867373
peak_CM_HP_MN_PP_SKM_241282_promoter_TMEM41A	peak_CM_HP_MN_PP_SKM_241282_promoter_TMEM41A	35	42	35	42	0.49438227369550003
peak_CM_HP_MN_PP_SKM_68017_promoter_DPAGT1_C2CD2L	peak_CM_HP_MN_PP_SKM_68017_promoter_DPAGT1_C2CD2L	49	57	49	57	0.49675439302894553
peak_CM_HP_MN_PP_SKM_160074_promoter_SUGP2_ARMC6	peak_CM_HP_MN_PP_SKM_160074_promoter_SUGP2_ARMC6	64	72	64	72	0.5485023614867373
peak_CM_HP_MN_PP_SKM_90009_promoter_SAP18	peak_CM_HP_MN_PP_SKM_90009_promoter_SAP18	24	30	24	30	0.49661743531793345
peak_CM_HP_MN_PP_SKM_329629_promoter_SDCBP	peak_CM_HP_MN_PP_SKM_329629_promoter_SDCBP	30	24	30	24	0.49661743531793345
peak_CM_HP_MN_PP_SKM_145347_promoter_TMEM105	peak_CM_HP_MN_PP_SKM_145347_promoter_TMEM105	42	35	42	35	0.49438227369550003
peak_CM_HP_MN_PP_SKM_29438_promoter_IARS2	peak_CM_HP_MN_PP_SKM_29438_promoter_IARS2	24	30	24	30	0.49661743531793345
peak_CM_HP_MN_PP_SKM_195053_enhancer_PSMD1_3851.5_C2orf72_15517.0	peak_CM_HP_MN_PP_SKM_195053_enhancer_PSMD1_3859.0_C2orf72_15522.0	24	30	24	30	0.49661743531793345
peak_CM_HP_MN_PP_SKM_191764_promoter_ABI2	peak_CM_HP_MN_PP_SKM_191764_promoter_ABI2	73	63	73	63	0.4403825433795311
peak_CM_HP_MN_PP_SKM_31333_promoter_TSNAX	peak_CM_HP_MN_PP_SKM_31333_promoter_TSNAX	24	30	24	30	0.49661743531793345
peak_CM_HP_MN_PP_SKM_193_promoter_AURKAIP1	peak_CM_HP_MN_PP_SKM_193_promoter_AURKAIP1	64	72	64	72	0.5485023614867373
peak_CM_HP_MN_PP_SKM_26633_promoter_LMOD1	peak_CM_HP_MN_PP_SKM_26633_promoter_LMOD1	30	24	30	24	0.49661743531793345
peak_CM_HP_MN_PP_SKM_134735_enhancer_HS3ST3B1_8361.5_CDRT15_72669.0	peak_CM_HP_MN_PP_SKM_134735_enhancer_HS3ST3B1_8374.5_CDRT15_72584.5	49	57	49	57	0.49675439302894553
peak_CM_HP_MN_PP_SKM_135568_promoter_MAPK7	peak_CM_HP_MN_PP_SKM_135568_promoter_MAPK7	123	134	123	134	0.5328521132879834
peak_CM_HP_MN_PP_SKM_335333_promoter_EMC2	peak_CM_HP_MN_PP_SKM_335333_promoter_EMC2	35	42	35	42	0.49438227369550003
peak_CM_HP_MN_PP_SKM_270414_enhancer_TMEM161B_130177.5_CCNH_729083.0	peak_CM_HP_MN_PP_SKM_270414_enhancer_TMEM161B_127453.0_CCNH_728515.5	64	72	64	72	0.5485023614867373
peak_CM_HP_MN_PP_SKM_344440_promoter_ZCCHC7	peak_CM_HP_MN_PP_SKM_344440_promoter_ZCCHC7	48	56	48	56	0.4926450664865037
peak_CM_HP_MN_PP_SKM_334463_enhancer_ZNF706_75975.5_YWHAZ_174350.5	peak_CM_HP_MN_PP_SKM_334463_enhancer_ZNF706_78642.0_YWHAZ_174919.0	30	24	30	24	0.49661743531793345
peak_CM_HP_MN_PP_SKM_355275_promoter_UBAC1	peak_CM_HP_MN_PP_SKM_355275_promoter_UBAC1	24	30	24	30	0.49661743531793345
peak_CM_MN_PP_270970_enhancer_NR2F1_3594.0_POU5F2_161992.5	peak_CM_MN_PP_270970_enhancer_NR2F1_3708.5_POU5F2_162101.0	24	30	24	30	0.49661743531793345
