gene	mean	median	longest_isoform	merged
GABRD	1435	1578	2393	5525
RP11-547D24.3	378	378	437	538
PRKCZ	947	702	2385	7695
RP5-892K4.1	4196	4196	4196	4196
PRKCZ-AS1	937	937	1253	1734
FAAP20	1669	1413	4478	10916
RP11-181G12.4	326	326	326	326
SKI	1792	416	6083	6550
RP11-181G12.8	4853	4853	5675	5794
MORN1	1697	1645	4764	11337
RP4-713A8.1	493	493	493	493
RP4-740C4.5	1310	1310	2407	2407
RP4-740C4.7	568	568	568	568
RER1	1436	695	3028	5689
PEX10	1473	907	2905	3782
PLCH2	4410	4853	6986	10809
RP3-395M20.2	455	455	455	455
RP3-395M20.3	514	514	514	514
PANK4	1128	723	2641	5072
HES5	1324	1324	1324	1324
RP3-395M20.12	1296	1296	1531	1531
TNFRSF14-AS1	1772	1218	3608	6137
TNFRSF14	1266	884	4255	6214
RP3-395M20.7	1297	1297	1297	1297
RP3-395M20.9	626	626	626	626
PRXL2B	1653	1096	2827	3371
MMEL1	1157	554	2879	3870
MMEL1-AS1	373	373	373	373
TTC34	5294	5294	8814	8814
ABC14-1188822O7.2	593	593	593	593
ABC14-1188822O7.1	1565	1565	1565	1565
RP11-740P5.2	607	607	607	607
RP11-740P5.4	663	663	663	663
RP11-740P5.3	429	429	429	429
RP5-907A6.1	1325	1325	1509	1654
ACTRT2	1437	1437	1437	1437
PRDM16-DT	1794	1697	4247	5600
PRDM16	3278	3730	8698	9767
MIR4251	61	61	61	61
RP1-163G9.2	469	469	469	469
RP11-193J6.1	2677	2677	2677	2677
RP11-22L13.1	3461	3461	3461	3461
RP4-785P20.3	728	728	728	728
RP4-785P20.2	2784	2784	2784	2784
ARHGEF16	1772	2211	2822	5324
RP11-168F9.2	382	382	382	382
MEGF6	2838	1174	7443	9021
MIR551A	96	96	96	96
RP11-46F15.2	622	622	622	622
TPRG1L	2295	2295	2401	2401
WRAP73	1464	859	6089	7634
TP73	2879	2089	5192	6767
TP73-AS3	754	754	754	754
TP73-AS2	351	351	351	351
TP73-AS1	2556	2529	6358	9701
ENSG10010138423.1	161	161	161	161
CCDC27	2354	2252	2685	4238
SMIM1	502	507	547	993
LRRC47	1770	575	4303	4509
RN7SL574P	297	297	297	297
RP1-286D6.5	531	531	531	531
CEP104	4540	5779	7766	11885
DFFB	2322	2842	3152	3870
C1orf174	1894	1779	3499	4883
LINC01134	1542	1287	3059	4084
LINC01346	1602	1304	3242	5054
LINC01345	1321	1327	1646	2168
LINC02780	852	758	1258	1835
RP11-718D19.2	4817	4817	4817	4817
EEF1DP6	372	372	372	372
LINC01777	1309	1347	2077	2574
RP5-1166F10.2	3402	3402	3402	3402
RP1-37J18.1	356	356	356	356
LINC01646	1057	1101	1531	3328
AJAP1	4927	2383	12102	12528
RP1-77N19.1	2992	2992	3030	3225
RP4-603B14.2	464	464	464	464
LINC02781	1580	1580	1580	1580
LINC02782	449	449	449	449
RP4-703E10.1	1225	1225	1225	1225
RP1-58B11.2	1239	830	2210	2316
RP1-58B11.3	609	609	609	609
RP1-58B11.1	1697	1697	1697	1697
RP3-491M17.1	135	135	135	135
RP11-154H17.1	605	605	847	1095
ENSG00000264341	73	73	73	73
MIR4689	70	70	70	70
NPHP4	3293	3967	5548	13167
KCNAB2	2099	1229	5979	17329
CHD5	3910	3720	9850	10094
RP1-120G22.12	663	663	663	663
RPL22	1080	786	2279	4665
RNF207-AS1	378	378	378	378
RNF207	1377	612	3981	6595
ICMT	2240	1919	4795	4910
LINC00337	1493	1302	2040	2358
HES3	710	710	710	710
GPR153	4198	4198	4198	4198
ACOT7	1452	1518	1813	3500
RP1-202O8.3	837	837	837	837
HES2	1339	849	4262	5407
ESPN	1144	661	4731	6952
MIR4252	63	63	63	63
RP1-202O8.2	351	351	351	351
TNFRSF25	1246	1087	3483	4263
PLEKHG5	2334	3381	4191	6935
NOL9	1873	731	6627	7271
RNU6-731P	111	111	111	111
RP11-58A11.2	401	401	401	401
TAS1R1	1796	1841	2764	2764
ZBTB48	1430	1025	2484	4510
KLHL21	2570	1500	6445	6901
PHF13	2215	2215	3632	3632
THAP3	1030	931	2053	4072
DNAJC11	1321	755	3201	5083
LINC01672	752	591	1686	2188
RP11-242F24.2	987	987	987	987
CAMTA1-DT	415	415	415	415
CAMTA1	1345	689	8314	9903
RP11-312B8.2	286	286	286	286
RP11-334N17.1	349	349	349	349
RNU1-8P	165	165	165	165
CAMTA1-IT1	365	365	365	365
CAMTA1-AS2	412	412	433	744
CAMTA1-AS1	361	361	361	361
RP11-338N10.1	1721	1721	1721	1721
RP11-338N10.2	570	570	570	570
RP11-338N10.3	267	267	267	267
VAMP3	1135	954	2178	2733
RP3-467L1.6	393	393	393	393
PER3	3301	1524	6365	8128
RP3-467L1.4	830	830	830	830
UTS2	870	591	1601	1793
TNFRSF9	2695	607	5970	6354
RP5-892F13.2	355	355	355	355
PARK7	829	789	1127	2397
Y_RNA	104	102	149	7887
CTA-215D11.6	2168	2168	2236	4116
CTA-215D11.5	1043	1043	1043	1043
ERRFI1	1491	995	3097	4179
RP11-431K24.1	2044	2044	2044	2044
CTA-215D11.4	800	800	800	800
RP11-431K24.2	1075	1075	1075	1075
LINC01714	692	683	896	1001
RNU1-7P	164	164	164	164
RP11-431K24.4	477	477	477	477
RNU6-991P	107	107	107	107
SLC45A1	1834	2074	2496	2600
RERE	2278	691	8026	14112
RERE-AS1	669	516	1052	1178
ENSG10010135148.1	125	125	125	125
RP5-1115A15.2	369	369	369	369
RPL7P11	658	658	658	658
RPL7P7	703	703	703	703
RP4-633I8.3	415	415	415	415
RP4-633I8.4	353	353	353	353
RPL23AP19	369	369	369	369
ENO1	1066	642	2548	5216
MIR6728	89	89	89	89
ENO1-AS1	456	456	456	456
RNU6-304P	107	107	107	107
HMGN2P17	743	743	743	743
RP3-477M7.5	352	352	352	352
RP3-477M7.6	163	163	163	163
CA6	980	864	1493	2662
RN7SL451P	299	299	299	299
SLC2A7	1944	1944	1944	1944
SLC2A5	1201	756	4085	6632
ENSG10010139882.1	184	184	184	184
GPR157	1951	458	5197	5304
MIR34AHG	2710	2987	4457	8702
MIR34A	110	110	110	110
LNCTAM34A	927	956	1265	2141
H6PD	5812	5590	9147	9322
SPSB1	1593	1223	3106	3389
CTD-2510L9.2	1765	1765	1765	1765
LINC02606	1254	839	2442	2623
RNA5SP40	110	110	110	110
RP13-392I16.1	708	708	708	708
SLC25A33	3865	3865	3865	3865
RP13-15M17.1	559	559	559	559
TMEM201	2512	3447	3851	6981
PIK3CD	3103	3505	5483	6333
PIK3CD-AS1	1823	1823	1823	1823
RP11-558F24.2	421	421	421	421
PIK3CD-AS2	939	939	939	939
CLSTN1	3404	4143	4760	5241
MZT1P1	246	246	246	246
RP11-84A14.7	1316	1316	1983	1983
CTNNBIP1	1378	1029	3006	3339
RP11-84A14.5	424	424	424	424
RP11-84A14.8	762	762	762	762
LZIC	1695	945	4989	5459
RP11-84A14.4	440	440	440	440
NMNAT1	1529	1094	3734	4610
RN7SKP269	319	319	319	319
TMEM274P	444	444	444	444
MIR5697	78	78	78	78
RP11-807G9.2	436	436	436	436
RBP7	743	743	861	862
UBE4B	2356	1050	6184	9237
RP11-496H15.2	337	337	337	337
PGAM1P11	680	680	680	680
RNU6-828P	107	107	107	107
KIF1B	5235	6350	10855	17955
ENSG00000264881	86	86	86	86
RNU6-37P	107	107	107	107
RN7SL731P	293	293	293	293
RP4-736L20.4	902	917	1392	2381
RP4-736L20.5	870	906	1369	1477
PGD	790	661	2268	3333
RP4-736L20.3	797	797	797	797
CENPS-CORT	897	626	1469	2244
CENPS	679	684	914	1748
CORT	914	914	914	914
DFFA	2727	1403	6035	6625
RP5-1113E3.3	467	467	467	467
PEX14	903	721	1922	2932
RP4-734G22.4	2876	2876	2876	2876
RN7SL614P	280	280	280	280
CASZ1	2272	695	7934	11336
RP4-734G22.3	7923	7923	7923	7923
HSPE1P24	238	238	238	238
C1orf127	2020	2359	2761	3573
CFL1P6	494	494	494	494
TARDBP	985	776	4185	6187
MASP2	1453	1458	2455	4257
SRM	668	578	1260	1894
EXOSC10	1208	608	2796	5991
RP4-635E18.7	2682	2682	2682	2682
EXOSC10-AS1	463	463	487	536
MTOR	2624	1111	8721	12163
MTOR-AS1	689	689	705	763
RNU6-537P	103	103	103	103
ANGPTL7	1415	1415	2224	2224
RNU6-291P	107	107	107	107
RPL39P6	150	150	150	150
UBIAD1	1675	1112	3654	5090
UBE2V2P3	437	437	437	437
RP4-796F18.3	742	742	742	742
MTCYBP45	565	565	565	565
DISP3	2556	1495	5265	6120
RP11-149P14.2	1051	1051	1051	1051
LINC01647	1351	1351	1351	1351
RP3-330O12.5	2094	2094	2094	2094
FBXO2	945	749	2215	3163
FBXO44	1596	994	3320	3527
FBXO6	1058	928	1444	1735
MAD2L2	1034	1002	1860	3324
DRAXIN	7365	7365	7365	7365
AGTRAP	912	930	1130	2435
C1orf167	2100	1881	4545	6499
C1orf167-AS1	1868	1868	1868	1868
MTHFR	3035	2387	8378	11513
CLCN6	2370	1047	5631	8173
ENSG10010138681.1	173	173	173	173
ENSG10010135835.1	149	149	149	149
NPPA	810	849	855	1120
ENSG10010134403.1	108	108	108	108
NPPB	708	708	708	708
SBF1P2	2637	2637	2637	2637
RP5-934G17.7	1000	855	1715	3071
RNU5E-1	120	120	120	120
RNU5E-4P	120	120	120	120
KIAA2013	2509	2539	2819	3281
PLOD1	1182	871	2976	5320
RP5-1077B9.6	595	595	595	595
MFN2	3264	4352	4772	10234
RP5-1077B9.5	93	93	93	93
MIIP	1111	955	1709	2821
MIR6729	65	65	65	65
RN7SL649P	275	275	275	275
TNFRSF8	2849	2412	3760	3812
RNU6-777P	104	104	104	104
RPL23AP89	255	255	255	255
RP11-426M1.3	1196	1196	1196	1196
MIR7846	96	96	96	96
TNFRSF1B	2059	2070	3687	3778
MIR4632	61	61	61	61
RPL10P17	316	316	316	316
SNORA70	123	133	153	242
VPS13D	3933	1303	16357	20768
SNORA59A	152	152	152	152
LINC02766	438	438	438	438
DHRS3	1150	931	2201	3515
RNU6ATAC18P	101	101	101	101
MIR6730	67	67	67	67
RP11-474O21.5	345	345	345	345
AADACL4	2027	2027	2027	2027
RP11-474O21.2	112	112	112	112
AADACL3	3943	3943	4055	4055
C1orf158	1661	724	3564	4133
PRAMEF12	2889	2889	2889	2889
PRAMEF1	1743	1743	2160	2439
LINC01784	378	378	378	378
PRAMEF11	1845	1845	1845	1845
PRAMEF30P	1417	1417	1417	1417
HNRNPCL1	1134	1134	1134	1134
PRAMEF2	1642	1642	1642	1642
PRAMEF4	1840	1840	1840	1840
PRAMEF10	1525	1525	1525	1525
PRAMEF7	1576	1576	1592	1660
RNU6-1072P	107	107	107	107
PRAMEF29P	1139	1139	1139	1139
PRAMEF6	1720	1720	1720	1784
PRAMEF28P	1450	1450	1450	1450
PRAMEF27	1947	1947	1947	1947
HNRNPCL3	1809	1809	1897	1897
PRAMEF25	1851	1851	1863	1918
PRAMEF34P	1447	1447	1447	1447
PRAMEF35P	891	891	891	891
HNRNPCL2	1156	1156	1156	1156
PRAMEF36P	1059	1059	1452	1452
RP13-221M14.2	384	384	384	384
PRAMEF26	1863	1863	1863	1863
HNRNPCL4	1718	1718	1718	1718
PRAMEF9	2465	2465	2465	2465
PRAMEF13	1747	1747	2163	2442
PRAMEF18	2067	2067	2067	2067
PRAMEF31P	1371	1371	1371	1371
PRAMEF5	1720	1720	1720	1720
PRAMEF32P	1068	1068	1068	1068
RNU6-771P	107	107	107	107
PRAMEF8	1714	1706	1844	1937
PRAMEF33	1518	1518	1518	1518
PRAMEF15	1865	1865	1865	1865
RP11-219C24.10	384	384	384	384
PRAMEF14	1748	1748	2164	2443
PRAMEF19	1440	1440	1440	1440
PRAMEF17	1578	1578	1578	1578
PRAMEF20	1502	1502	1502	1502
LRRC38	2168	2168	2168	2168
RP4-597A16.2	477	477	477	477
BRWD1P1	371	371	371	371
PDPN	1399	849	3104	3707
RNA5SP41	101	101	101	101
CTA-520D8.2	379	379	379	379
ENSG10010140100.1	130	130	130	130
PRDM2	2571	681	7957	10923
KAZN	3418	3643	6874	13860
RNU6-1265P	103	103	103	103
RP11-344F13.1	976	976	1239	1549
KAZN-AS1	1174	1227	1404	2858
TBCAP2	326	326	326	326
RP5-864I18.1	1453	1453	1453	1453
TMEM51-AS1	4038	3023	7100	11973
TMEM51	1704	1852	1971	2238
C1orf195	348	348	441	559
MFFP1	710	710	710	710
ZBTB2P1	966	966	966	966
FHAD1	1953	1381	5610	13247
FHAD1-AS1	3105	3105	3105	3105
RP3-467K16.7	727	727	727	727
RP3-467K16.4	3266	3266	5178	5178
EFHD2	1660	1660	2422	2534
CTRC	1891	1891	3482	3483
CELA2A	677	585	916	1519
CELA2B	635	625	915	1449
CASP9	1545	1111	4463	5269
DNAJC16	2903	2602	6299	8563
SCARNA21B	140	140	140	140
RP4-680D5.8	346	346	346	346
AGMAT	3095	3095	3095	3095
RP4-680D5.2	2845	2845	2845	2845
CHCHD2P6	447	447	447	447
RNU7-179P	68	68	68	68
CD24P1	225	225	225	225
DDI2	2659	1063	10667	12178
RSC1A1	1854	1854	1854	1854
RP4-680D5.9	256	256	256	256
PLEKHM2	2695	3775	4134	4134
RP11-288I21.1	694	684	755	1533
SLC25A34	1381	612	3129	3338
SLC25A34-AS1	639	639	639	639
TMEM82	1070	1070	1443	1443
FBLIM1	1054	577	3498	4351
RPL12P14	490	490	490	490
UQCRHL	2180	2180	2180	2180
RP11-169K16.8	438	438	438	438
FLJ37453	2473	2473	2473	2473
SPEN	3346	1568	12385	14336
RP1-134O19.3	211	211	211	211
ZBTB17	1064	753	2770	4240
RP11-5P18.1	563	563	563	563
RP11-5P18.3	260	260	260	260
RP11-5P18.11	236	236	236	236
TBC1D3P6	962	962	962	962
SRARP	3039	3039	3039	3039
RP11-5P18.5	466	466	466	466
HSPB7	1637	2128	2702	3193
CLCNKA	1725	1997	3060	3476
RP11-5P18.10	704	704	704	704
CLCNKB	2335	2577	3970	5933
FAM131C	1397	1397	1720	1720
EPHA2	1513	835	3946	4141
RP11-276H7.2	904	904	904	904
RP11-276H7.3	544	544	544	544
ARHGEF19-AS1	439	439	439	439
ARHGEF19	1366	803	3322	3788
ANO7L1	801	355	1720	1990
RP4-733M16.8	2662	2662	2662	2662
CPLANE2	955	955	1574	1574
MT1XP1	186	186	186	186
FBXO42	2811	2036	6227	9009
SZRD1	1504	817	3480	4742
RPL22P3	381	381	381	381
SPATA21	1634	1454	3619	4506
NECAP2	1339	851	4619	5510
LINC01772	3245	3245	3245	3245
CROCCP3	1915	1629	5368	6905
RNU1-1	164	164	164	164
RP4-798A10.7	1110	1110	1110	1110
RP4-798A10.8	1558	1558	1558	1558
RP4-798A10.4	327	327	327	327
LINC01783	1548	1548	1548	1548
RNU1-6P	144	144	144	144
PDE4DIPP8	882	882	882	882
NBPF1	3174	2755	5932	12212
RP5-1182A14.5	339	339	339	339
CROCCP2	2071	2029	2773	5606
RP5-1182A14.8	166	166	166	166
MST1P2	2291	2291	2291	2291
RP1-163M9.8	817	817	817	817
RNU1-3	164	164	164	164
RP5-875O13.7	1351	1351	1351	1351
EIF1AXP1	435	435	435	435
ESPNP	1811	1171	3693	4903
RP1-163M9.7	406	406	406	406
RP5-1182A14.7	819	819	819	819
CROCC	1760	780	6660	8875
CROCCP4	535	535	573	762
RNU1-4	164	164	164	164
MST1L	2031	1928	3995	5298
RP11-108M9.1	644	644	735	837
PDE4DIPP9	882	882	882	882
MIR3675	73	73	73	73
RP11-108M9.3	1158	1193	2520	3293
RNU1-5P	144	144	144	144
RP11-108M9.4	765	527	1512	2130
RP11-108M9.5	508	508	508	508
RNU1-2	164	164	164	164
RP11-108M9.6	438	438	438	438
MFAP2	1044	825	2371	2712
RP1-37C10.7	385	385	385	385
RP1-37C10.3	636	636	636	636
ATP13A2	1544	868	3996	5253
RP1-37C10.8	312	312	312	312
SDHB	684	674	1015	2324
PADI2	2992	3000	4361	6000
LINC02783	2633	2633	4676	4676
RP11-380J14.4	1228	1228	1228	1228
PADI1	2430	2680	3846	4903
PADI3	3189	3189	3189	3189
MIR3972	87	87	87	87
PADI4	893	513	2267	2971
PADI6	2396	2396	2396	2396
RCC2-AS1	311	311	311	311
RCC2	2284	2030	4040	4079
ARHGEF10L	2648	3018	4625	7954
LINC02810	819	821	1025	1328
ACTL8	1755	1755	1841	1844
RP11-658E23.1	2013	2013	2013	2013
LINC01654	2471	2471	2471	2471
IGSF21	1316	1407	1892	3033
RP11-174G17.3	6473	6473	6473	6473
IGSF21-AS1	430	430	430	430
RP11-422P22.1	491	491	491	491
KLHDC7A	5045	5045	5045	5045
DYNLL1P3	266	266	266	266
RP1-8B22.2	223	223	223	223
PAX7	3391	2260	6213	6473
TAS1R2	2542	2542	2542	2542
ALDH4A1	1914	2032	3139	3632
MIR4695	74	74	74	74
MIR1290	78	78	78	78
IFFO2	2572	1000	6179	6179
RP5-1126H10.2	3402	3402	3402	3402
UBR4	2828	891	15892	24661
EMC1-AS1	507	507	507	507
EMC1	2060	589	6640	9602
MRTO4	1012	578	2049	2556
RP4-657E11.11	339	339	339	339
AKR7L	1270	1276	1984	2768
AKR7A3	1215	1215	1215	1215
RP4-657E11.10	525	525	525	525
AKR7A2	946	989	1360	1779
RNU6-1099P	107	107	107	107
SLC66A1	1552	1530	2175	2686
CAPZB	2775	2063	6180	19094
RN7SL277P	288	288	288	288
MICOS10	1133	655	3723	5480
RNU4-28P	141	141	141	141
RP5-1056L3.1	207	207	207	207
NBL1	1300	1177	2160	3448
MICOS10-NBL1	803	820	999	1276
RP5-1056L3.3	455	455	455	455
HTR6	3800	3800	3800	3800
TMCO4	1343	977	2946	4027
RNF186	1255	1255	1255	1255
RP11-91K11.2	447	447	447	447
OTUD3	2416	465	6515	6885
PLA2G2E	785	785	785	785
RN7SL304P	301	301	301	301
PLA2G2A	856	842	1306	1632
PLA2G5	1202	1028	1918	3342
PLA2G2D	2253	2253	2651	2681
PLA2G2F	3425	3425	4129	6438
RP3-340N1.2	1480	1172	2493	2930
PLA2G2C	1240	510	3249	3855
UBXN10	5562	5562	5562	5562
LINC01757	550	550	621	646
RP3-340N1.7	1189	1189	1548	1639
VWA5B1	3188	2920	9143	11045
RP4-745E8.2	229	229	229	229
LINC01141	1116	1002	2993	4303
RP4-749H3.2	376	376	376	376
RP4-749H3.4	1071	1071	1156	1340
RP4-749H3.3	674	674	674	674
CAMK2N1	1569	1569	2326	2605
MUL1	2428	2428	2428	2428
RPS4XP4	763	763	763	763
FAM43B	2448	2448	2448	2448
CDA	785	785	809	820
PINK1	2712	2657	3821	4833
MIR6084	110	110	110	110
PINK1-AS	4443	4443	4443	4443
DDOST	1132	766	2126	2721
KIF17	1972	1805	3969	4470
RP5-930J4.5	479	479	479	479
SH2D5	1829	564	3898	4487
RP5-930J4.2	299	299	299	299
HP1BP3	1684	743	6406	9815
EIF4G3	3370	2133	7832	11125
RNU7-200P	62	62	62	62
MIR1256	119	119	119	119
RPS15AP6	385	385	385	385
RP11-487E1.2	115	115	115	115
HSPE1P27	296	296	296	296
RP3-329E20.3	1111	1111	1111	1111
ECE1	2001	1423	5099	7308
RP3-329E20.2	723	723	723	723
ECE1-AS1	2202	2202	2479	2579
PPP1R11P1	376	376	376	376
PDE4DIPP10	649	649	649	649
RP11-293F5.1	606	606	607	761
NBPF2P	661	661	661	661
HS6ST1P1	1234	1234	1234	1234
CROCCP5	830	830	830	830
NBPF3	1866	1417	4401	6812
PFN1P10	327	327	327	327
ALPL	1733	2131	2536	2980
LINC02596	821	821	821	821
RAP1GAP	2315	3238	4294	5755
USP48	1661	680	4419	9497
RP11-132G19.3	307	307	307	307
LDLRAD2	2045	1180	4016	4494
HSPG2	1834	708	14341	18118
RP11-26H16.1	483	483	483	483
RP11-26H16.4	1003	1003	1162	1162
CELA3B	689	701	996	1540
RP1-224A6.11	1140	1140	1469	1611
RN7SL386P	297	297	297	297
RNU6-1022P	104	104	104	104
CELA3A	637	649	906	1226
RN7SL186P	297	297	297	297
RNU6-776P	104	104	104	104
LINC01635	1041	1037	1470	1588
LINC00339	1090	1133	1518	3764
CDC42	3242	1645	10598	16278
CDC42-AS1	2574	2574	2574	2574
RP1-224A6.10	222	222	222	222
CDC42-IT1	692	692	692	692
MPHOSPH6P1	488	488	488	488
WNT4	1710	680	3968	4650
RP1-163O16.1	811	811	811	811
MIR4418	62	62	62	62
PPIAP34	492	492	492	492
RP11-415K20.2	1853	1853	1853	1853
ZBTB40	5983	8368	8992	9169
ZBTB40-IT1	273	273	273	273
EPHA8	3410	3410	5019	5434
MIR6127	109	109	109	109
C1QA	945	976	1091	1220
C1QC	1143	1158	1183	1332
C1QB	917	977	1098	1492
EPHB2	4684	3677	11035	12516
MIR4684	82	82	82	82
RP11-69E9.1	480	480	480	480
MIR4253	68	68	68	68
LACTBL1	1570	1570	1641	1641
TEX46	500	509	512	660
KDM1A	2232	2921	3085	5440
RP1-184J9.2	666	666	666	666
MIR3115	68	68	68	68
ENSG00000266802	77	77	77	77
LUZP1	4567	3715	8898	9658
RP5-979D14.1	818	818	818	818
RNU6-514P	107	107	107	107
RNU6-135P	101	101	101	101
HTR1D	3319	3319	3319	3319
RP5-1057J7.1	460	460	460	460
LINC01355	3943	4479	5444	6182
RP5-1057J7.8	604	604	604	604
HNRNPR	2313	1712	7751	8704
ZNF436	4126	4126	4465	4786
ZNF436-AS1	850	590	2547	2674
RP5-1057J7.7	650	650	650	650
TCEA3	1050	955	1719	3675
RP4-654C18.1	426	426	426	426
ASAP3	1659	921	4051	4988
E2F2	2873	2873	5196	5462
RP1-150O5.3	456	456	456	456
ID3	821	892	950	1496
RP1-150O5.4	1322	1322	1322	1322
MDS2	1405	1405	1781	2142
RP11-223J15.2	1186	1186	1186	1186
RPL11	919	851	1600	2659
ELOA-AS1	1016	1074	1502	3086
ELOA	3312	3797	5154	5391
PITHD1	1212	1292	1590	2173
LYPLA2	902	855	1635	2021
GALE	1039	882	2073	3955
HMGCL	1275	1354	2151	5628
FUCA1	2043	2043	2043	2043
CNR2	5265	5265	5265	5265
BTBD6P1	1267	1267	1267	1267
RP11-4M23.3	210	210	210	210
MIR378F	78	78	78	78
H3P1	368	368	368	368
PNRC2	1238	814	2428	2763
SRSF10	1938	1141	7656	11860
RP11-4M23.7	328	328	328	328
RP11-293P20.2	454	454	454	454
MYOM3	3491	3893	5760	9214
MYOM3-AS1	461	461	461	461
IL22RA1	2817	2817	2817	2817
