gene	mean	median	longest_isoform	merged
AL590483.3	3548	3548	3548	3548
ZBTB18	3787	3787	3843	3898
LINC02774	1260	1260	1746	1964
AKT3	2324	1575	7234	12010
AKT3-IT1	466	466	466	466
AL662889.1	386	386	386	386
FABP7P1	392	392	392	392
AL591721.1	748	748	748	748
SDCCAG8	979	696	2576	5320
MIR4677	80	80	80	80
FCF1P7	559	559	559	559
CEP170	2123	929	6813	10858
CEP170P1	4590	4590	4590	4590
AL606534.2	324	324	372	487
AL606534.1	703	703	703	703
METTL14-DT	1099	1099	1140	1140
AL445675.2	552	552	552	552
RCC2P1	1459	1459	1459	1459
AL445675.1	1387	1387	1387	1387
RCC2P2	841	841	841	841
RSL24D1P4	490	490	490	490
AC099785.1	442	442	442	442
PLD5	2917	2782	8889	9529
RPL10AP5	640	640	640	640
AL133217.1	425	425	425	425
AL117339.3	162	162	162	162
AL360271.2	161	161	161	161
AL591686.1	295	295	295	295
AL591686.2	937	828	1630	2599
RN7SKP12	143	143	143	143
MAP1LC3C	1218	1218	1218	1218
CFL1P4	501	501	501	501
BECN2	1296	1296	1296	1296
RPL23AP20	421	421	421	421
EXO1	1491	754	3445	3945
AL365366.1	854	854	854	854
WDR64	2032	2144	4385	4946
OPN3	1392	880	2933	4014
AL133390.1	1276	1276	1276	1276
CHML	1211	705	3350	3417
KMO	1653	756	4967	6355
FH	849	405	1794	2129
AL359764.3	3351	3351	3351	3351
AL359764.2	1427	1339	5569	10449
AL359764.1	2462	2074	3823	5679
RGS7	1904	1832	2492	2779
AL592076.1	305	305	305	305
MIR3123	56	56	56	56
AL590682.1	336	336	336	336
HNRNPA1P42	962	962	962	962
RFKP1	414	414	414	414
AL365184.1	1172	1303	1480	2078
THAP12P8	2113	2113	2113	2113
AL365184.2	435	435	435	435
AL358176.5	424	424	424	424
RNU5F-8P	112	112	112	112
AL358176.3	455	455	455	455
GREM2	4535	4535	4535	4535
AL358176.4	675	675	675	675
AL358176.2	203	203	203	203
AL358176.1	410	410	410	410
FMN2	1986	903	6333	9568
AL590490.1	318	318	318	318
AL513342.1	100	100	100	100
AL359918.3	456	456	575	575
ADH5P3	1130	1130	1130	1130
AL359918.1	122	122	122	122
AL359918.2	2736	2736	2736	2736
RPS7P5	579	579	579	579
AL356361.3	858	858	858	858
AL356361.1	1346	1346	1346	1346
AL356361.2	467	467	467	467
CHRM3	2753	2004	8306	10596
CHRM3-AS1	483	483	483	483
CHRM3-AS2	1338	771	5548	9364
AC093426.1	3002	3002	3002	3002
AC093426.2	3690	3690	3690	3690
AL583825.1	3532	3532	3532	3532
AL359551.1	2916	2916	2916	2916
KRT18P32	1228	1228	1228	1228
LINC01139	1956	1443	5517	5898
AL356010.2	401	401	605	679
AL356010.1	101	101	101	101
YWHAQP9	522	522	522	522
MTND5P18	1352	1352	1352	1352
MTND6P15	523	523	523	523
MTCYBP15	1123	1123	1123	1123
MTRNR2L11	1543	1543	1543	1543
MTND1P27	925	925	925	925
AL590396.4	944	944	944	944
MTND1P31	908	908	908	908
MTND2P25	584	584	584	584
AL590396.2	1047	1047	1047	1047
AL590396.3	300	300	300	300
AL359924.1	2939	2939	2939	2939
AL590396.1	770	770	770	770
ZP4	2128	2128	2463	2463
RYR2	9157	13699	16586	18404
AL442065.1	132	132	132	132
MIR4428	73	73	73	73
RN7SKP195	331	331	331	331
AL359259.1	614	614	614	614
MTR	3785	4007	7312	9183
RPSAP21	883	883	883	883
ACTN2	2525	2716	5110	5834
HEATR1	3377	802	8455	9063
LGALS8	1705	963	6426	9706
AL359921.1	440	440	440	440
AL359921.2	543	543	543	543
LGALS8-AS1	1425	1425	1439	1439
EDARADD	1748	985	3133	3855
ENO1P1	1299	1299	1299	1299
AL450309.1	646	646	646	646
ERO1B	2257	1172	4994	5783
RNU2-70P	190	190	190	190
GPR137B	1082	1106	2043	2327
AL122018.3	1124	1124	1124	1124
AL122018.1	2251	2251	2251	2251
NID1	5607	5607	5797	5817
AL122018.2	94	94	94	94
LINC02768	188	188	188	188
AL139161.1	730	730	730	730
RNU6-968P	102	102	102	102
LYST	5047	3184	13489	19674
MIR1537	50	50	50	50
LYST-AS1	481	481	481	481
LDHAP2	991	991	991	991
GNG4	2754	1697	4950	5165
FO393422.1	716	716	716	716
MTCO3P46	233	233	233	233
MTND3P8	345	345	345	345
MTND4LP21	295	295	295	295
MTND4P10	1354	1354	1354	1354
MTND5P19	1808	1808	1808	1808
MTND6P14	519	519	519	519
MTCYBP14	715	715	715	715
B3GALNT2	1660	1515	4675	8386
TBCE	2247	2338	3228	4761
RPS21P1	243	243	243	243
AL357556.4	431	431	431	431
AL357556.1	1363	1363	1363	1363
GGPS1	1633	1128	3788	4613
AL391994.1	282	282	282	282
ARID4B	3210	3736	6035	9431
RPL23AP23	461	461	461	461
MIR4753	83	83	83	83
RBM34	871	729	2148	3247
TOMM20	1343	377	3287	3442
SNORA14B	135	135	135	135
AL732292.2	429	429	429	429
AL732292.1	219	219	219	219
LINC01348	3208	3208	3208	3208
AL391832.3	848	848	848	848
AL391832.2	753	807	1127	3022
AL391832.1	427	427	427	427
AL391832.4	3632	3632	3632	3632
RN7SL668P	303	303	303	303
RNY4P16	94	94	94	94
AL360294.1	2441	2441	2442	2442
LINC01132	1684	1018	3761	5060
AL160408.6	1270	1270	1270	1270
AL160408.3	3529	3529	3529	3529
AL160408.1	725	623	1349	2416
AL160408.4	927	927	927	927
AL160408.5	525	525	525	525
LINC00184	2269	2269	2269	2269
IRF2BP2	3315	4607	4655	4717
AL160408.2	694	694	694	694
AL161640.1	129	129	129	129
AL161640.2	398	398	398	398
AL161640.3	1097	1097	1097	1097
LINC01354	2703	2868	3204	3223
TARBP1	2387	2827	5206	7747
COA6	1014	840	1744	2277
COA6-AS1	573	573	573	573
AL355472.3	625	625	625	625
AL355472.2	325	325	325	325
SLC35F3	2347	2743	3124	3428
MIR4671	73	73	73	73
AL122008.2	566	566	566	566
AL122008.1	447	447	447	447
AL122008.4	389	389	389	389
AL122008.3	1768	1768	1768	1768
RAC1P7	377	377	377	377
AL713868.1	730	730	730	730
AL663058.2	3817	3817	3817	3817
AL357972.1	1058	1058	1058	1058
KCNK1	1169	893	2078	3443
MIR4427	76	76	76	76
AL360006.1	2073	2073	2073	2073
RNU4-77P	157	157	157	157
MAP3K21	4583	3998	5855	7935
AL133380.1	403	403	403	403
PCNX2	1428	728	7517	12628
NTPCR	2577	931	8760	15771
AL122003.1	785	785	785	785
AL122003.2	932	932	932	932
RNU1-74P	164	164	164	164
MAP10	1065	1065	1065	1065
LINC01744	1782	1800	1855	2082
LINC01745	372	372	372	372
RNU6-1211P	105	105	105	105
SIPA1L2	2942	1721	6699	7668
RN7SL299P	281	281	281	281
BX323014.1	237	237	237	237
AL353052.1	820	820	820	820
AL353052.2	2179	2179	2179	2179
DISC1	3023	2629	7091	12677
DISC1-IT1	452	452	452	452
AL136171.2	3789	1782	14768	16101
TSNAX-DISC1	2826	2826	2988	5128
AL136171.1	201	201	201	201
RNU5A-5P	109	109	109	109
LINC00582	597	597	597	597
TSNAX	2032	749	5624	6338
AL445524.1	877	505	2149	4384
AL445524.2	2605	3187	3276	3612
EGLN1	2254	1093	5252	5755
EGLN1P1	195	195	195	195
SPRTN	2127	2181	3581	5925
AL117352.1	138	138	138	138
EXOC8	5063	5063	5063	5063
RNA5SP80	111	111	111	111
GNPAT	1550	1381	2687	3270
C1orf131	1304	1129	2670	5436
TRIM67	5151	3962	9325	9331
AL109810.2	1276	1276	1280	1280
AL109810.1	495	495	495	495
FAM89A	1360	1512	1585	2411
MIR1182	97	97	97	97
ARV1	1093	1052	1456	2026
TTC13	1367	866	3270	4195
AL118511.3	870	870	870	870
RN7SL837P	290	290	290	290
AL118511.4	650	650	650	650
AL118511.1	1322	1374	1749	1924
C1orf198	2350	1041	4676	5441
AL118511.2	311	311	311	311
RNA5SP79	109	109	109	109
CAPN9	1935	2328	2575	2593
AL512328.1	676	658	836	1330
AGT	2121	2121	2121	2121
AL158214.2	2108	2108	2108	2108
COG2	2648	2845	7884	11528
AL158214.1	404	404	404	404
LINC01737	403	403	403	403
AL133516.1	552	552	552	552
PGBD5	4230	3091	9019	9290
GALNT2	2499	2612	4470	7604
AL136988.1	1039	1039	1039	1039
AL136988.2	1331	1331	1331	1331
LINC01736	827	805	1045	1198
LINC01682	875	825	1581	2655
HMGB1P26	628	628	628	628
AL354983.1	896	896	896	896
URB2	3136	3136	5639	6017
TAF5L	2229	2961	4071	6423
ABCB10	1783	879	3859	4259
RNA5SP78	118	118	118	118
RNU4-21P	126	126	126	126
AL121990.1	724	724	724	724
NUP133	1891	865	5206	6065
AL160004.1	482	482	482	482
ACTA1	1488	1488	1488	1492
AL160004.2	351	351	351	351
RN7SKP276	281	281	281	281
RNU6-180P	61	61	61	61
CCSAP	4507	4683	5159	6190
AL117350.2	648	648	648	648
RAB4A	1549	716	3039	3355
AL117350.1	192	192	192	192
AC022616.5	183	183	183	183
AL162595.1	3070	2483	5968	8214
TMEM78	1865	1865	1865	1865
AL162595.2	846	846	909	1211
LINC02814	1384	941	3056	3699
ISCA1P2	418	418	418	418
LINC02815	650	650	650	650
AL078624.1	544	544	544	544
AL078624.2	552	552	552	552
RHOU	3983	3983	3983	3983
CCDC190	1572	1494	2638	3722
AL392003.1	243	243	243	243
RGS4	1710	933	3799	4865
RGS5	1435	587	5839	6663
AL499616.1	2620	2620	2620	2620
AL451063.1	1200	1200	1200	1200
AL592435.1	754	644	1469	3663
AL592435.2	464	464	464	464
NUF2	992	873	1954	3164
AL603841.1	644	644	644	644
RNA5SP62	110	110	110	110
RNA5SP63	116	116	116	116
AL355862.1	353	353	353	353
NMNAT1P2	860	860	860	860
RNU5F-6P	118	118	118	118
PBX1	2665	1542	11352	21616
RNU6-171P	128	128	128	128
AL391001.1	724	724	724	724
AL391001.2	285	285	285	285
AL357568.1	1966	1966	1966	1966
AL357568.2	1505	1505	1505	1505
AL390119.1	102	102	102	102
AL390119.2	85	85	85	85
RNU6-755P	103	103	103	103
LMX1A	2378	2350	3553	4193
LMX1A-AS2	694	694	694	694
LMX1A-AS1	618	645	674	785
RXRG	1400	1377	2245	2686
LRRC52-AS1	996	904	2389	4443
AL157714.1	586	586	586	586
LRRC52	1369	1369	1369	1369
AL356441.2	838	838	838	838
AL356441.1	868	924	1134	1998
MGST3	1058	754	3107	8201
ALDH9A1	1104	818	2680	3290
AL451074.1	103	103	103	103
AL451074.4	341	341	341	341
AL451074.3	468	468	468	468
AL451074.2	1098	1098	1215	1846
AL451074.6	752	752	752	752
TMCO1	1762	1740	4448	5575
TMCO1-AS1	2167	2167	2167	2167
AL451074.5	431	431	431	431
UCK2	2100	825	4853	6980
AL358115.1	1763	1763	2833	2982
MIR3658	59	59	59	59
AL606495.2	543	543	543	543
AL606495.1	817	817	817	817
RNA5SP64	107	107	107	107
FAM78B	2595	2299	4377	5663
FAM78B-AS1	592	592	592	592
AL596087.3	481	481	481	481
MIR921	47	47	47	47
AL596087.2	450	450	475	760
AL583804.1	810	810	810	810
LINC01675	1167	1167	1281	1658
FMO7P	646	646	646	646
FMO8P	1604	1604	1604	1604
FMO11P	744	744	744	744
FMO9P	1100	1100	1369	1569
FMO10P	826	826	826	826
POGK	4326	5740	6284	8461
TADA1	2322	2322	2544	2905
DUTP6	462	462	462	462
ILDR2	3342	2273	13283	13323
MAEL	1522	1718	2345	3136
RNA5SP65	119	119	119	119
AL158837.1	453	453	453	453
GPA33	1587	1616	2548	2954
DUSP27	3165	3831	4185	4289
AL451050.1	409	409	409	409
LINC01363	1129	947	1764	1921
AL451050.2	684	684	684	684
POU2F1	6272	1896	14343	15986
AL136984.1	1045	1045	1045	1045
CD247	1297	1089	2572	3863
AL359962.3	1937	1937	1937	1937
AL359962.1	302	302	302	302
AL359962.2	304	304	304	304
AKR1D1P1	929	929	929	929
CREG1	1981	1981	2005	2005
AL031733.1	436	436	436	436
AL031733.2	2401	2401	2401	2401
RCSD1	1991	1327	4489	7093
MPZL1	1518	955	4994	7105
ADCY10	3799	5052	5339	6217
Z99943.1	685	685	685	685
MPC2	2561	3464	3576	3576
DCAF6	1814	1282	3522	6326
MIR1255B2	67	67	67	67
GPR161	4221	2585	8221	11178
TIPRL	2014	2014	3001	3396
RPL34P1	354	354	354	354
AL021397.1	246	246	246	246
SFT2D2	728	674	1074	1363
ANKRD36BP1	1582	1582	1767	1767
RNU6-1310P	107	107	107	107
TBX19	1708	1755	2557	3788
AL022100.1	475	475	475	475
MIR557	98	98	98	98
AL023755.1	1211	1265	1787	4210
AL022100.2	382	382	382	382
QRSL1P1	1556	1556	1556	1556
XCL2	564	564	564	564
AL031736.1	615	615	615	615
XCL1	869	869	1234	1375
AL031736.2	552	552	552	552
DPT	1721	1721	1721	1721
AL135926.1	1518	1518	1518	1518
AL031275.1	418	418	418	418
LINC00626	981	988	1156	1580
SUMO1P2	293	293	293	293
AL135926.2	2415	2415	2415	2415
LINC00970	1172	1172	1172	1172
RPL29P7	459	459	459	459
AL031726.2	1270	1270	1270	1270
RNA5SP66	101	101	101	101
AL031726.1	567	567	567	567
ATP1B1	1850	2221	2606	2869
NME7	1026	769	2946	4366
Z99758.1	126	126	126	126
BLZF1	1566	1295	2519	3812
CCDC181	1518	1648	2025	3961
SLC19A2	3283	3263	3621	4388
Z99572.1	13871	13871	13871	13871
F5	5495	6913	8978	9274
SELP	2150	2401	3157	3494
SELL	1170	701	2437	2725
SELE	2748	3482	3875	4218
AL021940.1	674	674	674	674
C1orf112	2312	2613	4317	5110
METTL18	1241	1422	1456	1569
SCYL3	3153	2905	6190	6763
RN7SL333P	294	294	294	294
AL031297.1	189	189	189	189
KIFAP3	2350	2836	4112	4977
RN7SL269P	306	306	306	306
AL356475.1	341	341	341	341
SIGLEC30P	941	941	941	941
METTL11B	854	854	992	1204
MIR3119-1	85	85	85	85
MIR3119-2	85	85	85	85
LINC01681	898	874	1372	2805
ISCUP1	450	450	450	450
LINC01142	1095	1095	1813	1813
HAUS4P1	1136	1136	1136	1136
GORAB-AS1	1465	1371	2917	5535
GORAB	1592	1931	2452	3753
AL162399.1	134	134	134	134
AL023495.1	1355	1355	1355	1355
PRRX1	1422	599	4068	8347
Z97200.1	2054	2054	2054	2054
BX284613.2	2057	2016	4500	7798
MROH9	1944	2256	3155	3856
BX284613.1	1643	1643	1643	1643
FMO3	1001	766	2055	3423
MIR1295A	79	79	79	79
MIR1295B	60	60	60	60
FMO6P	1072	990	1967	2564
FMO2	949	673	1947	3086
AL021026.1	467	441	555	695
FMO1	1630	2082	2998	3469
AL445673.1	121	121	121	121
HMGB1P6	622	622	622	622
HMGB1P11	622	622	622	622
FMO4	990	732	2311	2550
SRP14P4	203	203	203	203
GM2AP2	565	565	565	565
CYCSP53	268	268	268	268
PRRC2C	4015	2868	10373	14137
MYOCOS	1139	1173	1648	1936
MYOC	1839	1839	2105	2109
PFN1P1	398	398	398	398
RPL4P3	1304	1304	1304	1304
VAMP4	2339	1661	5435	5435
Z98751.1	382	382	382	382
Z98751.3	512	512	512	512
Z98751.2	440	440	440	440
AL135931.1	106	106	106	106
EEF1AKNMT	1917	841	3886	4334
AL031864.1	423	423	423	423
AL031864.2	350	350	350	350
DNM3	3551	2790	7601	11311
DNM3-IT1	396	396	396	396
DNM3OS	986	809	2536	3193
MIR214	110	110	110	110
MIR3120	81	81	81	81
MIR199A2	110	110	110	110
AL137157.1	2283	2283	2283	2283
RNU6-157P	107	107	107	107
PIGC	1622	1559	2630	4190
C1orf105	754	829	990	1725
SUCO	3033	2925	6710	8490
RNU6-693P	105	105	105	105
FASLG	1352	1352	1794	1794
Z98043.1	433	433	433	433
AL031599.1	814	814	814	814
AIMP1P2	312	312	312	312
Z97198.1	635	635	635	635
TNFSF18	2014	2014	2014	2014
AL022310.1	695	695	695	695
TNFSF4	2483	3433	3496	3967
AL645568.2	1343	1343	1343	1343
TCP1P3	1522	1522	1522	1522
AL645568.1	1207	1328	1687	3530
PRDX6	1091	859	1631	2228
SLC9C2	2021	1434	4337	5177
AL139142.1	531	531	531	531
AL139142.2	1789	1789	1789	1789
ANKRD45	2237	2237	2662	4116
TEX50	831	831	831	831
KLHL20	1280	922	3403	4240
BX248409.1	249	249	249	249
RN7SKP160	309	309	309	309
CENPL	1427	1504	2490	4952
AL109921.1	132	132	132	132
DARS2	2843	3064	3824	7271
GAS5	798	699	3124	4810
GAS5-AS1	799	799	799	799
ZBTB37	5650	2321	19058	19660
SERPINC1	1124	1137	1596	1780
RNA5SP67	137	137	137	137
RC3H1	4541	2126	11395	11642
RNA5SP68	119	119	119	119
RC3H1-IT1	468	468	468	468
LINC02776	334	334	334	334
RPL30P1	330	330	330	330
RABGAP1L-DT	1787	631	5876	6905
RABGAP1L	1769	1082	7063	15561
AL022400.1	934	934	934	934
GPR52	1567	1567	1567	1567
NDUFAF4P4	507	507	507	507
Z99127.3	395	395	395	395
RABGAP1L-IT1	347	347	347	347
Z99127.2	340	340	340	340
Z99127.1	650	650	669	974
RNU6-307P	106	106	106	106
Z99127.4	1296	1296	1296	1296
CACYBP	1132	803	2824	4603
MRPS14	745	788	898	1335
Z99297.1	101	101	101	101
TNN	4356	4258	5066	5066
KIAA0040	2252	1707	4510	4729
AL008626.1	772	772	772	772
Z94057.1	853	853	853	853
TNR	5419	4167	12803	12835
TNR-IT1	629	629	629	629
LINC01657	1837	1837	1837	1837
LINC02803	714	714	1189	1251
COP1	1638	2028	2831	4469
SCARNA3	143	143	143	143
AL590723.1	624	624	624	624
AL591043.2	1176	633	2302	2439
AL359265.3	62	62	62	62
AL359265.2	624	624	624	624
RNU2-12P	168	168	168	168
AL591043.1	424	424	424	424
MORF4L1P7	705	705	705	705
PAPPA2	2919	2403	9675	10333
PTP4A1P7	514	514	514	514
AL031290.1	664	664	664	664
ASTN1	3973	3685	7130	9192
MIR488	83	83	83	83
BRINP2	2332	2504	4120	4514
LINC01645	1040	927	1492	2032
AL136114.1	1352	1409	1789	2770
LINC01741	1455	1502	1686	1924
SEC16B	2277	2636	3977	6726
CRYZL2P-SEC16B	5684	5876	6188	7815
CRYZL2P	1499	1057	2892	5481
AL359075.1	217	217	217	217
RASAL2-AS1	1777	2042	2729	3055
RASAL2	4509	2396	14391	15987
AL160281.1	360	360	360	360
AL365357.1	355	355	355	355
CLEC20A	1213	1172	1498	3369
AL035702.1	270	270	270	270
AL513013.1	1123	1123	1123	1123
TEX35	1384	933	2432	4366
C1orf220	1545	1545	2540	2735
RNA5SP69	117	117	117	117
AL137796.1	573	573	573	573
MIR4424	84	84	84	84
AL449106.1	1959	1959	1959	1959
RALGPS2	2133	685	7512	9192
PTPN2P1	1072	1072	1072	1072
AL162255.1	119	119	119	119
ANGPTL1	2111	2279	3521	3576
FAM20B	3248	3248	5893	5948
AL139132.1	345	345	345	345
TOR3A	992	728	2052	3239
ABL2	3247	3120	11893	16394
AL512326.5	171	171	171	171
SETP10	822	822	822	822
AL512326.3	722	722	722	722
COX5BP8	353	353	353	353
AL512326.4	151	151	151	151
SOAT1	3505	4802	4845	4927
AXDND1	1620	1183	3399	5993
AC020951.1	1372	1372	1372	1372
MEF2AP1	865	865	865	865
HNRNPA1P54	8851	8851	8851	8851
AL160286.3	3346	3346	3346	3346
NPHS2	1778	1778	1878	1882
RNU5F-2P	82	82	82	82
AL160286.1	2465	2465	2465	2465
AL160286.2	925	925	925	925
TDRD5	3074	3239	3744	4252
AL359853.2	495	525	551	635
FAM163A	2833	2833	2833	2833
AL359853.1	467	467	538	595
LINC02818	299	299	299	299
TOR1AIP2	4066	3547	7903	18588
AL353708.3	984	984	984	984
TOR1AIP1	2152	830	5967	6428
RN7SL230P	303	303	303	303
AL353708.2	449	449	449	449
AL353708.1	1054	1054	1054	1054
CEP350	2931	1059	13406	14257
RPSAP16	844	844	844	844
AL590632.1	367	367	367	367
AL390718.1	506	506	506	506
QSOX1	2524	1798	5605	5605
LHX4	1899	1062	5829	6391
ACBD6	2372	1922	5228	7476
VDAC1P4	850	850	850	850
AL358354.1	104	104	104	104
OVAAL	1432	1422	1535	1787
XPR1	2884	746	8523	8904
LINC02816	490	490	540	745
KIAA1614	1825	995	4011	5099
AL162431.1	2437	2437	2437	2437
KIAA1614-AS1	1436	1436	1436	1436
AL162431.2	523	523	523	523
AL162431.3	413	413	413	413
STX6	3721	4814	4841	6520
MR1	3536	2058	7899	9411
IER5	4188	4188	4188	4188
LINC01732	542	542	543	668
AL358393.1	538	538	538	538
LINC01699	259	259	259	259
CACNA1E	9160	7974	16401	18679
AL590998.1	339	339	339	339
RNA5SP70	79	79	79	79
AL161734.2	2012	2012	2012	2012
AL161734.1	538	538	538	538
RN7SKP229	302	302	302	302
AL391477.1	3852	3852	3852	3852
ZNF648	2389	2389	3629	3629
AL355482.1	2445	2445	2445	2445
AL355482.2	1158	1158	1158	1158
LINC01344	1252	1170	2640	6948
AL390856.1	811	811	1011	1011
YPEL5P1	367	367	367	367
RNU6-152P	107	107	107	107
AL513480.1	508	508	508	508
EIF1P3	334	334	334	334
GLUL	2602	1356	6136	9031
LINC00272	585	585	739	739
RGSL1	1498	746	5670	9107
AL139344.1	180	180	180	180
TEDDM2P	783	783	783	783
RNASEL	4129	4129	4248	6102
AL138776.1	280	280	280	280
RGS16	2402	2402	2402	2402
LINC01686	1376	1376	1376	1376
RGS8	1517	843	5586	6658
LINC01688	259	259	259	259
AL353778.1	407	407	407	407
NPL	1585	1588	3027	5106
AL355999.1	995	995	995	995
DHX9	1416	833	4500	5919
AC024405.1	1020	1020	1020	1020
SHCBP1L	1636	2095	2534	2977
HMGN1P4	292	292	292	292
RNA5SP71	126	126	126	126
AL450304.1	603	603	603	603
KRT18P28	1331	1331	1331	1331
LAMC1	1927	741	7931	8449
LAMC1-AS1	466	466	466	466
LAMC2	2860	3561	5387	6794
NMNAT2	3259	3484	5420	6898
AL354953.1	961	961	961	961
AL356981.1	667	667	667	667
AL449223.1	834	834	834	834
SMG7-AS1	1493	1633	2241	3348
SMG7	2161	709	5984	8322
NCF2	1526	2153	2396	2913
ARPC5	2908	2441	6878	10252
RGL1	4929	4929	5118	5322
APOBEC4	1786	1786	3094	3094
AL157899.1	921	921	921	921
AL590422.1	436	436	436	436
COLGALT2	3958	4788	5253	7810
TSEN15	1563	1727	2701	8422
AL158011.2	2265	2265	2265	2265
AL158011.1	112	112	112	112
AL445228.1	112	112	112	112
AL445228.2	335	335	335	335
RN7SL654P	289	289	289	289
AL445228.3	948	948	948	948
C1orf21	2951	665	10214	11002
AL078645.1	415	415	415	415
AL078645.2	1330	1330	1330	1330
AL713852.1	2667	2678	3587	7549
AL713852.2	3448	3448	3448	3448
EDEM3	3474	2847	6849	7689
NIBAN1	2229	1060	7013	8506
RNU7-13P	63	63	63	63
LINC01633	1305	1305	1305	1305
RNA5SP72	117	117	117	117
